Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1676104293.9706612,2747,1676104293,963776176,base_link,101292.25,0.0
1676104294.030402,2748,1676104294,23727088,base_link,101289.4921875,0.0
1676104294.0692792,2749,1676104294,63690088,base_link,101293.7421875,0.0
1676104294.1307786,2750,1676104294,123639952,base_link,101290.5,0.0
1676104294.1898334,2751,1676104294,183583952,base_link,101295.4921875,0.0
1676104294.2504308,2752,1676104294,243534328,base_link,101293.0,0.0
1676104294.289152,2753,1676104294,283497328,base_link,101294.2421875,0.0
1676104294.3499022,2754,1676104294,343446984,base_link,101291.5,0.0
1676104294.4144824,2755,1676104294,403398128,base_link,101293.25,0.0
1676104294.4508193,2756,1676104294,443362128,base_link,101291.75,0.0
1676104294.5123625,2757,1676104294,503311016,base_link,101294.0,0.0
1676104294.5709577,2758,1676104294,563255016,base_link,101292.9921875,0.0
1676104294.6314921,2759,1676104294,623205160,base_link,101293.5,0.0
1676104294.690959,2760,1676104294,688145160,base_link,101293.2421875,0.0
1676104294.7306864,2761,1676104294,723118792,base_link,101290.25,0.0
1676104294.790406,2762,1676104294,783062792,base_link,101291.5,0.0
1676104294.8498478,2763,1676104294,843013704,base_link,101288.75,0.0
1676104294.891849,2764,1676104294,887972704,base_link,101292.25,0.0
1676104294.9516308,2765,1676104294,947925128,base_link,101292.7421875,0.0
1676104295.0087438,2766,1676104295,2873128,base_link,101293.4921875,0.0
1676104295.0695078,2767,1676104295,62824040,base_link,101295.4921875,0.0
1676104295.111106,2768,1676104295,102794208,base_link,101292.0,0.0
1676104295.1703095,2769,1676104295,162738208,base_link,101294.7421875,0.0
1676104295.231469,2770,1676104295,222690120,base_link,101291.5,0.0
1676104295.2920153,2771,1676104295,287631120,base_link,101294.2421875,0.0
1676104295.3500595,2772,1676104295,342588056,base_link,101293.0,0.0
1676104295.3909268,2773,1676104295,382550056,base_link,101294.4921875,0.0
1676104295.4521992,2774,1676104295,442503504,base_link,101292.7421875,0.0
1676104295.511645,2775,1676104295,502457696,base_link,101290.75,0.0
1676104295.5708869,2776,1676104295,562400696,base_link,101266.75,0.0
1676104295.6104035,2777,1676104295,602371656,base_link,101265.25,0.0
1676104295.6699607,2778,1676104295,662315656,base_link,101259.75,0.0
1676104295.7302003,2779,1676104295,722270152,base_link,101272.75,0.0
1676104295.7689893,2780,1676104295,762234152,base_link,101278.25,0.0
1676104295.8304553,2781,1676104295,822186368,base_link,101276.7421875,0.0
1676104295.8923483,2782,1676104295,887127368,base_link,101267.4921875,0.0
1676104295.9500608,2783,1676104295,942084840,base_link,101264.0,0.0
1676104296.0134547,2784,1676104296,7034568,base_link,101265.5,0.0
1676104296.0546021,2785,1676104296,46997568,base_link,101262.5,0.0
1676104296.1131234,2786,1676104296,106952552,base_link,101263.25,0.0
1676104296.1720028,2787,1676104296,166897552,base_link,101267.75,0.0
1676104296.2123845,2788,1676104296,201875048,base_link,101269.75,0.0
1676104296.270529,2789,1676104296,261820048,base_link,101269.7421875,0.0
1676104296.330783,2790,1676104296,321774544,base_link,101272.0,0.0
1676104296.3902473,2791,1676104296,381721544,base_link,101272.25,0.0
1676104296.4324872,2792,1676104296,426688552,base_link,101272.5,0.0
