Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type_mask,orientation.x,orientation.y,orientation.z,orientation.w,body_rate.x,body_rate.y,body_rate.z,thrust
1676104290.0592923,1170,1676104289,937586880,,0,6.035045012756129e-17,6.035045012756128e-17,0.014300130671806802,-0.99989777677809,0.5140146017074585,1.1762549877166748,0.018993703648447845,0.0
1676104290.074133,1171,1676104290,62591488,,0,6.035042432005973e-17,6.035042432005972e-17,0.014300509993443402,-0.9998977346312415,0.5138674378395081,1.176326036453247,0.018984545022249076,0.0
1676104290.194623,1172,1676104290,187595584,,0,6.034908749147885e-17,6.034908749147882e-17,0.014322047033032553,-0.9998974396033019,0.5133480429649353,1.1759800910949707,0.018965508788823936,0.0
1676104290.3161094,1173,1676104290,311604032,,0,6.034887070846571e-17,6.034887070846571e-17,0.014325545221458916,-0.9998973974564535,0.5132315158843994,1.176469326019287,0.018979433923959586,0.0
1676104290.4426847,1174,1676104290,436608640,,0,6.034846294994106e-17,6.034846294994103e-17,0.014332120129826586,-0.9998973131627564,0.5132707357406616,1.1767637729644775,0.018982056528329704,0.0
1676104290.5664542,1175,1676104290,561612992,,0,6.034868489445448e-17,6.034868489445447e-17,0.01432849550085469,-0.9998973131627564,0.5133023858070374,1.1770551204681396,0.01899574697017655,0.0
1676104290.68966,1176,1676104290,686617600,,0,6.034911846048071e-17,6.03491184604807e-17,0.01432154127085042,-0.9998974396033019,0.5132492780685425,1.1771113872528076,0.018997624516486976,0.0
1676104290.8150673,1177,1676104290,811626816,,0,6.034934556649446e-17,6.034934556649443e-17,0.014317874495029902,-0.9998974817501505,0.5130621194839478,1.1770230531692505,0.018970357254147384,0.0
1676104290.941404,1178,1676104290,936631424,,0,6.035018689104536e-17,6.035018689104534e-17,0.014304345356657965,-0.9998976924843931,0.5131041407585144,1.1770316362380981,0.018982032313942764,0.0
1676104291.0668554,1179,1676104291,61635776,,0,6.035035205905536e-17,6.035035205905535e-17,0.014301690105201713,-0.9998977346312415,0.5130196213722229,1.1769773960113525,0.018989222124218795,0.0
1676104291.192016,1180,1676104291,186639872,,0,6.035086820908658e-17,6.035086820908656e-17,0.01429338717604509,-0.999897861071787,0.5127941370010376,1.1770439147949219,0.01897343993186936,0.0
1676104291.3159213,1181,1676104291,311648832,,0,6.035190050914905e-17,6.035190050914903e-17,0.014276739170883276,-0.9998980718060296,0.5131641626358032,1.177309274673462,0.018977381289005134,0.0
1676104291.4394336,1182,1676104291,435653440,,0,6.035176114864061e-17,6.035176114864061e-17,0.01427901510070293,-0.9998980718060296,0.5133492946624756,1.177588939666748,0.019006488844752166,0.0
1676104291.5669615,1183,1676104291,560658048,,0,6.035218439166621e-17,6.03521843916662e-17,0.014272187311244139,-0.9998981560997267,0.5132197141647339,1.1776400804519653,0.019001279026269767,0.0
1676104291.6904478,1184,1676104291,685662656,,0,6.035284506370619e-17,6.035284506370619e-17,0.014261524158570895,-0.9998982825402722,0.5133880972862244,1.1779589653015137,0.019034512341022346,0.0
1676104291.8166974,1185,1676104291,810671872,,0,6.035219987616717e-17,6.035219987616714e-17,0.014271934430153016,-0.9998981560997267,0.5134490132331848,1.1781781911849976,0.019031044095754478,0.0
1676104291.9400468,1186,1676104291,935676736,,0,6.035206051565873e-17,6.035206051565871e-17,0.014274168213124102,-0.9998981139528781,0.5134823322296143,1.178489327430725,0.01900354959070668,0.0
1676104292.0658596,1187,1676104292,60681344,,0,6.03530153932165e-17,6.035301539321648e-17,0.014258826760266134,-0.9998983668339692,0.5133554935455322,1.1788825988769531,0.01903179287910447,0.0
1676104292.1905677,1188,1676104292,185685184,,0,6.035370703425835e-17,6.035370703425834e-17,0.014247657845410757,-0.9998984932745147,0.5136947631835938,1.1792211532592773,0.01904547028243527,0.0
1676104292.3158612,1189,1676104292,310694912,,0,6.035369154975742e-17,6.03536915497574e-17,0.01424791072650188,-0.9998984932745147,0.5139248967170715,1.1795899868011475,0.019076393917202804,0.0
1676104292.4411824,1190,1676104292,434699776,,0,6.035390833277053e-17,6.03539083327705e-17,0.014244454684923974,-0.9998985775682118,0.5138076543807983,1.1794304847717285,0.019047081470489356,0.0
1676104292.5669312,1191,1676104292,559704640,,0,6.035342831324149e-17,6.035342831324147e-17,0.01425212541135293,-0.9998984089808177,0.5139778852462769,1.1796408891677856,0.019094724208116386,0.0
1676104292.6900308,1192,1676104292,685708992,,0,6.035375348776116e-17,6.035375348776114e-17,0.014246899202137614,-0.9998984932745147,0.5139898657798767,1.1796201467514038,0.019052391871809814,0.0
1676104292.8182516,1193,1676104292,814719488,,0,6.035436770629834e-17,6.035436770629832e-17,0.014236994692737516,-0.9998986197150602,0.5143781900405884,1.1797218322753906,0.019074456766247604,0.0
1676104292.942624,1194,1676104292,934724096,,0,6.035411995428334e-17,6.035411995428332e-17,0.014240998643346011,-0.9998985775682118,0.5141757130622864,1.1795796155929565,0.019064357504248473,0.0
1676104293.0667908,1195,1676104293,64728704,,0,6.035439867530022e-17,6.035439867530019e-17,0.01423653107740395,-0.9998986618619088,0.5141972899436951,1.1796334981918335,0.019086301326751563,0.0
1676104293.1906235,1196,1676104293,184731520,,0,6.035415608478552e-17,6.035415608478551e-17,0.014240408587466911,-0.9998985775682118,0.5144620537757874,1.1799970865249634,0.0191147960722445,0.0
1676104293.3169992,1197,1676104293,314740480,,0,6.035432125279551e-17,6.03543212527955e-17,0.014237795482859226,-0.9998986618619088,0.514643132686615,1.1797668933868408,0.0191069189459084,0.0
1676104293.4397085,1198,1676104293,434745344,,0,6.035340766724024e-17,6.035340766724023e-17,0.014252504732989585,-0.9998984511276662,0.5145455598831177,1.179879069328308,0.019098894670605514,0.0
1676104293.564971,1199,1676104293,558749696,,0,6.035331476023461e-17,6.035331476023462e-17,0.014253979872687417,-0.9998984089808177,0.5149560570716858,1.1799439191818237,0.01911275461316094,0.0
1676104293.6913316,1200,1676104293,683755840,,0,6.035231342917403e-17,6.0352313429174e-17,0.014270122115667097,-0.9998981982465751,0.5153406262397766,1.1798456907272339,0.01913693174719796,0.0
1676104293.8173943,1201,1676104293,813765312,,0,6.035169921063686e-17,6.035169921063684e-17,0.014279984478218629,-0.9998980296591811,0.5155866146087646,1.179697036743164,0.019114736467599723,0.0
1676104293.9397035,1202,1676104293,933770176,,0,6.037855965826207e-17,6.037855965826207e-17,0.013847389225102796,-0.9999040988053667,0.5012577176094055,1.188364863395691,0.01894483901560292,0.0
1676104294.0666971,1203,1676104294,63777088,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.3149265646934509,0.5394291281700134,0.012072347104549342,0.0
1676104294.19169,1204,1676104294,188781952,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.15769287943840027,0.22923170030117035,0.010783002711832496,0.0
1676104294.3171556,1205,1676104294,308793984,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.12110745906829834,0.19942140579223633,0.011836197227239584,0.0
1676104294.4400885,1206,1676104294,433800128,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.07314734160900116,0.10794094949960709,0.012519879266619668,0.0
1676104294.5675962,1207,1676104294,563806016,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.04459889605641365,0.0735161155462265,0.012936584651470176,0.0
1676104294.6907244,1208,1676104294,682812160,,0,6.028936377136521e-17,6.02893637713652e-17,0.015283163766474995,-0.9998831939685052,0.039719972759485245,0.06290238350629807,0.01634406112134456,0.0
1676104294.8164322,1209,1676104294,812824704,,0,6.01540498791779e-17,6.015404987917789e-17,0.017457435387454992,-0.9998476220283621,0.03516226261854172,0.05368059501051903,0.017456334084272378,0.0
1676104294.9420743,1210,1676104294,937832128,,0,6.012915596317167e-17,6.012915596317166e-17,0.017856903217641183,-0.9998405413578122,0.04952192306518555,0.06116772070527077,0.00011801623622886087,0.0
1676104295.0684211,1211,1676104295,62839040,,0,6.01322322173578e-17,6.013223221735779e-17,0.0178075492580349,-0.999841426441631,0.046458445489406586,0.05662311241030693,0.0004579142550937762,0.0
1676104295.1918411,1212,1676104295,187846208,,0,6.009300997648462e-17,6.00930099764846e-17,0.01843667526575701,-0.9998300046456845,0.052068643271923065,0.0553680919110775,-0.0002459133393131264,0.0
1676104295.3182259,1213,1676104295,312861056,,0,6.009021244331536e-17,6.009021244331534e-17,0.01848156165942112,-0.9998292038555628,0.046911679208278656,0.05237425118684769,0.00044895458268001036,0.0
1676104295.4410114,1214,1676104295,437869504,,0,6.007473310387876e-17,6.007473310387876e-17,0.01872972230345328,-0.9998245677022266,0.049025461077690125,0.051781926304101944,7.616267248521856e-05,0.0
1676104295.5669441,1215,1676104295,558877696,,0,0.12051910824607576,-0.2454826069359816,0.030773563587077706,0.9613877798252011,0.45662185549736023,-2.332430601119995,0.40743732452392606,0.39352938532829285
1676104295.6929214,1216,1676104295,686886656,,0,-0.03450882803635584,-0.09964324207466763,-0.0034578960392278608,0.9944186443248253,-1.9426628351211548,1.5397014617919922,0.12075790017843227,0.07407159358263016
1676104295.8175144,1217,1676104295,805906368,,0,-0.09545891349121821,0.006328791845820053,0.0006069146185568084,0.9954130570685913,-1.2494134902954102,1.5648797750473022,0.12948186695575695,0.12895935773849487
1676104295.9428189,1218,1676104295,937915840,,0,-0.135588873298917,0.10955310807575556,0.015086928039808043,0.9845741098901962,-0.7152988910675049,1.3727556467056274,0.20008580386638625,0.17707538604736328
1676104296.0662997,1219,1676104296,59925568,,0,-0.12346544757004722,0.14062659983209352,0.0176776105240757,0.9821751112729561,-0.1179162785410881,0.6816419959068298,0.17127358913421623,0.14175449311733246
