Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1676104292.014737,74,1676104292,12666520,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104294.0124788,75,1676104294,11238221,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104296.017505,76,1676104296,14811999,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104298.0184731,77,1676104298,17478638,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104300.019085,78,1676104300,18029734,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104302.0196805,79,1676104302,18986191,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104304.020693,80,1676104304,19795006,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104306.0263965,81,1676104306,24565110,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104308.0286274,82,1676104308,23471041,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104310.0261016,83,1676104310,25120810,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104312.0272095,84,1676104312,25649632,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104314.0310926,85,1676104314,26566296,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104316.029481,86,1676104316,28457694,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104318.0296795,87,1676104318,29166677,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104320.0313249,88,1676104320,29661345,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104322.0322752,89,1676104322,31532019,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104324.0307138,90,1676104324,29811103,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104326.035027,91,1676104326,34027632,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104328.0368533,92,1676104328,34222689,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104330.0324266,93,1676104330,31968182,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104332.0354748,94,1676104332,35007948,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104334.0372133,95,1676104334,36174492,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676104336.045505,96,1676104336,37711179,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
