Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vtol_state,landed_state
1676104290.5180132,294,1676104290,514443976,,0,1
1676104291.013581,295,1676104291,12510891,,0,1
1676104291.5159101,296,1676104291,513781233,,0,1
1676104292.0146873,297,1676104292,12750112,,0,1
1676104292.513597,298,1676104292,512330827,,0,1
1676104293.0133362,299,1676104293,12436893,,0,1
1676104293.5152342,300,1676104293,513627816,,0,1
1676104294.0160294,301,1676104294,14629102,,0,2
1676104294.515935,302,1676104294,515220944,,0,2
1676104295.0152798,303,1676104295,13591196,,0,1
1676104295.5171025,304,1676104295,516057390,,0,2
1676104296.0174806,305,1676104296,14886762,,0,2
1676104296.5173116,306,1676104296,515743868,,0,2
1676104297.0182247,307,1676104297,17280175,,0,2
1676104297.516747,308,1676104297,516162744,,0,2
1676104298.0188072,309,1676104298,17876533,,0,2
1676104298.5194705,310,1676104298,518506452,,0,2
1676104299.0180483,311,1676104299,17171682,,0,2
1676104299.52065,312,1676104299,519768209,,0,2
1676104300.0188909,313,1676104300,18085533,,0,2
1676104300.5213008,314,1676104300,518793846,,0,2
1676104301.0192268,315,1676104301,18456274,,0,2
1676104301.5216386,316,1676104301,520757585,,0,2
1676104302.019618,317,1676104302,19061372,,0,2
1676104302.520781,318,1676104302,519940244,,0,2
1676104303.0224776,319,1676104303,21760081,,0,2
1676104303.5216985,320,1676104303,521147633,,0,2
1676104304.0255542,321,1676104304,23422362,,0,2
1676104304.5235763,322,1676104304,522641951,,0,2
1676104305.0254254,323,1676104305,24236685,,0,2
1676104305.5251722,324,1676104305,524118336,,0,2
1676104306.026348,325,1676104306,24628852,,0,2
1676104306.5255754,326,1676104306,523903592,,0,2
1676104307.0237336,327,1676104307,22377249,,0,2
1676104307.525579,328,1676104307,524799719,,0,2
1676104308.0286071,329,1676104308,23542675,,0,2
1676104308.525499,330,1676104308,524644164,,0,2
1676104309.0261738,331,1676104309,25706682,,0,2
1676104309.5270607,332,1676104309,526517647,,0,2
1676104310.0260818,333,1676104310,25203837,,0,2
1676104310.5278213,334,1676104310,526540843,,0,2
1676104311.026715,335,1676104311,25923256,,0,2
1676104311.528134,336,1676104311,527681034,,0,2
1676104312.027096,337,1676104312,25740605,,0,2
1676104312.5280416,338,1676104312,525814585,,0,2
1676104313.0275328,339,1676104313,26764805,,0,2
1676104313.5268292,340,1676104313,526167909,,0,2
1676104314.030969,341,1676104314,26863091,,0,2
1676104314.5297732,342,1676104314,529139743,,0,2
1676104315.0284429,343,1676104315,27233233,,0,2
1676104315.5302584,344,1676104315,529673774,,0,2
1676104316.0294273,345,1676104316,28525096,,0,2
1676104316.5300121,346,1676104316,529503713,,0,2
1676104317.0289896,347,1676104317,28261654,,0,2
1676104317.5307093,348,1676104317,530024880,,0,2
1676104318.0299134,349,1676104318,29320542,,0,2
1676104318.5307462,350,1676104318,530008358,,0,2
1676104319.0314136,351,1676104319,30991576,,0,2
1676104319.531716,352,1676104319,530179370,,0,2
1676104320.0312982,353,1676104320,29747122,,0,2
1676104320.5321052,354,1676104320,531531600,,0,2
1676104321.030364,355,1676104321,29804046,,0,2
1676104321.5306475,356,1676104321,530038434,,0,2
1676104322.0322514,357,1676104322,31709183,,0,2
1676104322.5321534,358,1676104322,531792017,,0,2
1676104323.0331748,359,1676104323,32387941,,0,2
1676104323.533716,360,1676104323,532841179,,0,2
1676104324.0339599,361,1676104324,33240186,,0,2
1676104324.5342448,362,1676104324,533532009,,0,2
1676104325.032176,363,1676104325,31549064,,0,2
1676104325.5334845,364,1676104325,532775757,,0,2
1676104326.035183,365,1676104326,34181855,,0,2
1676104326.532711,366,1676104326,532109300,,0,2
1676104327.0350046,367,1676104327,34486431,,0,2
1676104327.5333164,368,1676104327,532776324,,0,2
1676104328.0368705,369,1676104328,34688316,,0,1
1676104328.535719,370,1676104328,534368868,,0,1
1676104329.0380275,371,1676104329,34233158,,0,1
1676104329.5364797,372,1676104329,535711467,,0,1
1676104330.037456,373,1676104330,36833573,,0,1
1676104330.5365102,374,1676104330,535676212,,0,1
1676104331.036281,375,1676104331,35927424,,0,1
1676104331.5355227,376,1676104331,534915003,,0,1
1676104332.0359752,377,1676104332,35315454,,0,1
1676104332.5380242,378,1676104332,535355954,,0,1
1676104333.0365896,379,1676104333,35902749,,0,1
1676104333.5362284,380,1676104333,535635452,,0,1
1676104334.0371788,381,1676104334,36248625,,0,1
1676104334.5393908,382,1676104334,538061305,,0,1
1676104335.0360947,383,1676104335,35311385,,0,1
1676104335.5377753,384,1676104335,537273634,,0,1
1676104336.0452685,385,1676104336,37787534,,0,1
