Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1676104290.059797,147,1676104289,857233350,,True,False,False,True,STABILIZED,3
1676104290.856671,148,1676104290,855926141,,True,False,False,True,STABILIZED,3
1676104291.8558455,149,1676104291,855040640,,True,False,False,True,STABILIZED,3
1676104292.8575742,150,1676104292,856355253,,True,False,False,True,STABILIZED,3
1676104293.856634,151,1676104293,855890418,,True,True,False,True,STABILIZED,4
1676104294.8577175,152,1676104294,856884897,,True,True,False,True,STABILIZED,4
1676104295.8585458,153,1676104295,857825890,,True,True,False,False,OFFBOARD,4
1676104296.8601725,154,1676104296,859544839,,True,True,False,False,OFFBOARD,4
1676104297.861421,155,1676104297,860316380,,True,True,False,False,OFFBOARD,4
1676104298.8598213,156,1676104298,859067664,,True,True,False,False,OFFBOARD,4
1676104299.8734026,157,1676104299,860890074,,True,True,False,False,OFFBOARD,4
1676104300.861376,158,1676104300,860600800,,True,True,False,False,OFFBOARD,4
1676104301.8635492,159,1676104301,862324761,,True,True,False,False,OFFBOARD,4
1676104302.865637,160,1676104302,864303630,,True,True,False,False,OFFBOARD,4
1676104303.8636787,161,1676104303,862828699,,True,True,False,False,OFFBOARD,4
1676104304.864964,162,1676104304,863712881,,True,True,False,False,OFFBOARD,4
1676104305.8659713,163,1676104305,865206493,,True,True,False,False,OFFBOARD,4
1676104306.8676448,164,1676104306,866689073,,True,True,False,False,OFFBOARD,4
1676104307.8692472,165,1676104307,865423462,,True,True,False,False,OFFBOARD,4
1676104308.8683512,166,1676104308,866358552,,True,True,False,False,OFFBOARD,4
1676104309.8681965,167,1676104309,867539344,,True,True,False,False,OFFBOARD,4
1676104310.8702276,168,1676104310,869353062,,True,True,False,False,OFFBOARD,4
1676104311.870586,169,1676104311,870009756,,True,True,False,False,OFFBOARD,4
1676104312.8695612,170,1676104312,868407717,,True,True,False,False,OFFBOARD,4
1676104313.8715367,171,1676104313,870942657,,True,True,False,False,OFFBOARD,4
1676104314.870165,172,1676104314,869301016,,True,True,False,False,OFFBOARD,4
1676104315.8726227,173,1676104315,871916203,,True,True,False,False,OFFBOARD,4
1676104316.87266,174,1676104316,871745977,,True,True,False,False,OFFBOARD,4
1676104317.8729727,175,1676104317,871776383,,True,True,False,False,OFFBOARD,4
1676104318.8729668,176,1676104318,872219179,,True,True,False,False,OFFBOARD,4
1676104319.8745015,177,1676104319,873184546,,True,True,False,False,OFFBOARD,4
1676104320.8757658,178,1676104320,874579244,,True,True,False,False,OFFBOARD,4
1676104321.8769763,179,1676104321,873613730,,True,True,False,True,MANUAL,4
1676104322.8748817,180,1676104322,873022941,,True,True,False,True,MANUAL,4
1676104323.8759444,181,1676104323,874568377,,True,True,False,True,MANUAL,4
1676104324.8748846,182,1676104324,874138080,,True,True,False,True,MANUAL,4
1676104325.8760028,183,1676104325,874738627,,True,True,False,True,MANUAL,4
1676104326.877001,184,1676104326,875780448,,True,True,False,True,MANUAL,4
1676104327.876964,185,1676104327,876034164,,True,False,False,True,MANUAL,3
1676104328.8764858,186,1676104328,875657618,,True,False,False,True,MANUAL,3
1676104329.8787332,187,1676104329,877843231,,True,False,False,True,MANUAL,3
1676104330.8780918,188,1676104330,877429876,,True,False,False,True,MANUAL,3
1676104331.878721,189,1676104331,877570964,,True,False,False,True,MANUAL,3
1676104332.8794365,190,1676104332,878351895,,True,False,False,True,MANUAL,3
1676104333.8783834,191,1676104333,877564802,,True,False,False,True,MANUAL,3
1676104334.880468,192,1676104334,879795533,,True,False,False,True,MANUAL,3
1676104335.8794832,193,1676104335,878943780,,True,False,False,True,MANUAL,3
