Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1676104290.8059394,145,1676104290,805011051,,1676104290,810292000,fcu
1676104291.8070705,146,1676104291,804584124,,1676104291,810292000,fcu
1676104292.8063493,147,1676104292,804102422,,1676104292,810292000,fcu
1676104293.8095937,148,1676104293,806104623,,1676104293,810292000,fcu
1676104294.8070376,149,1676104294,805951077,,1676104294,811292000,fcu
1676104295.8074048,150,1676104295,806904930,,1676104295,811292000,fcu
1676104296.8082767,151,1676104296,807480958,,1676104296,811292000,fcu
1676104297.8103058,152,1676104297,809408573,,1676104297,812292000,fcu
1676104298.8111193,153,1676104298,810184227,,1676104298,812292000,fcu
1676104299.8103526,154,1676104299,809877987,,1676104299,811292000,fcu
1676104300.8106258,155,1676104300,809998646,,1676104300,810292000,fcu
1676104301.8124506,156,1676104301,811770906,,1676104301,810292000,fcu
1676104302.8137655,157,1676104302,813120301,,1676104302,812292000,fcu
1676104303.8124764,158,1676104303,811771094,,1676104303,810292000,fcu
1676104304.8128316,159,1676104304,812404983,,1676104304,810292000,fcu
1676104305.8162353,160,1676104305,814179763,,1676104305,811292000,fcu
1676104306.8156,161,1676104306,814916496,,1676104306,811292000,fcu
1676104307.8149168,162,1676104307,814294677,,1676104307,810292000,fcu
1676104308.816874,163,1676104308,816042146,,1676104308,811292000,fcu
1676104309.8172712,164,1676104309,816732609,,1676104309,811292000,fcu
1676104310.8185534,165,1676104310,818101086,,1676104310,812292000,fcu
1676104311.8233328,166,1676104311,820248695,,1676104311,812292000,fcu
1676104312.8178608,167,1676104312,817243016,,1676104312,810292000,fcu
1676104313.8227804,168,1676104313,820868599,,1676104313,812292000,fcu
1676104314.8207707,169,1676104314,820275271,,1676104314,812292000,fcu
1676104315.8222165,170,1676104315,821242759,,1676104315,812292000,fcu
1676104316.8208168,171,1676104316,820352937,,1676104316,811292000,fcu
1676104317.821935,172,1676104317,821145518,,1676104317,811292000,fcu
1676104318.8216205,173,1676104318,821244200,,1676104318,811292000,fcu
1676104319.8220596,174,1676104319,821690883,,1676104319,811292000,fcu
1676104320.8246357,175,1676104320,823430204,,1676104320,812292000,fcu
1676104321.8231196,176,1676104321,822625137,,1676104321,811292000,fcu
1676104322.822639,177,1676104322,822199574,,1676104322,810292000,fcu
1676104323.824871,178,1676104323,823498239,,1676104323,811292000,fcu
1676104324.8231752,179,1676104324,822817492,,1676104324,810292000,fcu
1676104325.8238087,180,1676104325,823286845,,1676104325,810292000,fcu
1676104326.8246455,181,1676104326,824272044,,1676104326,810292000,fcu
1676104327.8259408,182,1676104327,825317429,,1676104327,811292000,fcu
1676104328.8260474,183,1676104328,824625174,,1676104328,810292000,fcu
1676104329.8280582,184,1676104329,827283618,,1676104329,812292000,fcu
1676104330.8268898,185,1676104330,826173218,,1676104330,811292000,fcu
1676104331.8282108,186,1676104331,827591629,,1676104331,811292000,fcu
1676104332.8275042,187,1676104332,826865534,,1676104332,811292000,fcu
1676104333.8273013,188,1676104333,826289205,,1676104333,810292000,fcu
1676104334.8293977,189,1676104334,828219898,,1676104334,811292000,fcu
1676104335.8283434,190,1676104335,827920005,,1676104335,811292000,fcu
