Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,attitude_status_flag,velocity_horiz_status_flag,velocity_vert_status_flag,pos_horiz_rel_status_flag,pos_horiz_abs_status_flag,pos_vert_abs_status_flag,pos_vert_agl_status_flag,const_pos_mode_status_flag,pred_pos_horiz_rel_status_flag,pred_pos_horiz_abs_status_flag,gps_glitch_status_flag,accel_error_status_flag
1676104290.2033505,732,1676104290,201759828,,True,True,True,True,True,True,True,False,True,True,False,False
1676104290.4054215,733,1676104290,402123057,,True,True,True,True,True,True,True,False,True,True,False,False
1676104290.6099877,734,1676104290,604872989,,True,True,True,True,True,True,True,False,True,True,False,False
1676104290.8034627,735,1676104290,801636366,,True,True,True,True,True,True,True,False,True,True,False,False
1676104291.0099967,736,1676104291,5083984,,True,True,True,True,True,True,True,False,True,True,False,False
1676104291.2089074,737,1676104291,205194769,,True,True,True,True,True,True,True,False,True,True,False,False
1676104291.408524,738,1676104291,404670702,,True,True,True,True,True,True,True,False,True,True,False,False
1676104291.6064572,739,1676104291,603438506,,True,True,True,True,True,True,True,False,True,True,False,False
1676104291.8054419,740,1676104291,801947087,,True,True,True,True,True,True,True,False,True,True,False,False
1676104292.006725,741,1676104292,3936020,,True,True,True,True,True,True,True,False,True,True,False,False
1676104292.2051964,742,1676104292,202769658,,True,True,True,True,True,True,True,False,True,True,False,False
1676104292.4032915,743,1676104292,401725388,,True,True,True,True,True,True,True,False,True,True,False,False
1676104292.6057217,744,1676104292,603666952,,True,True,True,True,True,True,True,False,True,True,False,False
1676104292.8059063,745,1676104292,802562071,,True,True,True,True,True,True,True,False,True,True,False,False
1676104293.0027306,746,1676104293,1266949,,True,True,True,True,True,True,True,False,True,True,False,False
1676104293.204616,747,1676104293,202486616,,True,True,True,True,True,True,True,False,True,True,False,False
1676104293.4043825,748,1676104293,403548623,,True,True,True,True,True,True,True,False,True,True,False,False
1676104293.60773,749,1676104293,603918973,,True,True,True,True,True,True,True,False,True,True,False,False
1676104293.802505,750,1676104293,801703671,,True,True,True,True,True,True,True,False,True,True,False,False
1676104294.003208,751,1676104294,2314805,,True,True,True,True,True,True,True,False,True,True,False,False
1676104294.2092884,752,1676104294,203639759,,True,True,True,True,True,True,True,False,True,True,False,False
1676104294.4039748,753,1676104294,402767456,,True,True,True,True,True,True,True,False,True,True,False,False
1676104294.6042285,754,1676104294,602919173,,True,True,True,True,True,True,True,False,True,True,False,False
1676104294.802712,755,1676104294,802120841,,True,True,True,True,True,True,True,False,True,True,False,False
1676104295.0070043,756,1676104295,5494506,,True,True,True,True,True,True,True,False,True,True,False,False
1676104295.2028499,757,1676104295,202471731,,True,True,True,True,True,True,True,False,True,True,False,False
1676104295.4059122,758,1676104295,404893806,,True,True,True,True,True,True,True,False,True,True,False,False
1676104295.6058369,759,1676104295,602745568,,True,True,True,True,True,True,True,False,True,True,False,False
1676104295.80584,760,1676104295,804004163,,True,True,True,True,True,True,True,False,True,True,False,False
1676104296.0065842,761,1676104296,5888682,,True,True,True,True,True,True,True,False,True,True,False,False
1676104296.2051668,762,1676104296,203943086,,True,True,True,True,True,True,True,False,True,True,False,False
1676104296.406864,763,1676104296,404527374,,True,True,True,True,True,True,True,False,True,True,False,False
1676104296.6054332,764,1676104296,604142328,,True,True,True,True,True,True,True,False,True,True,False,False
1676104296.8065135,765,1676104296,804847898,,True,True,True,True,True,True,True,False,True,True,False,False
1676104297.0071907,766,1676104297,4795830,,True,True,True,True,True,True,True,False,True,True,False,False
1676104297.2081687,767,1676104297,206286867,,True,True,True,True,True,True,True,False,True,True,False,False
1676104297.406856,768,1676104297,406260053,,True,True,True,True,True,True,True,False,True,True,False,False
1676104297.6069715,769,1676104297,605703398,,True,True,True,True,True,True,True,False,True,True,False,False
1676104297.8085122,770,1676104297,806861602,,True,True,True,True,True,True,True,False,True,True,False,False
1676104298.0059433,771,1676104298,5534786,,True,True,True,True,True,True,True,False,True,True,False,False
1676104298.207258,772,1676104298,205892975,,True,True,True,True,True,True,True,False,True,True,False,False
1676104298.407735,773,1676104298,407006738,,True,True,True,True,True,True,True,False,True,True,False,False
1676104298.6068811,774,1676104298,605327620,,True,True,True,True,True,True,True,False,True,True,False,False
1676104298.808603,775,1676104298,807790686,,True,True,True,True,True,True,True,False,True,True,False,False
1676104299.0117483,776,1676104299,6779966,,True,True,True,True,True,True,True,False,True,True,False,False
1676104299.2063015,777,1676104299,205212421,,True,True,True,True,True,True,True,False,True,True,False,False
1676104299.407852,778,1676104299,407148614,,True,True,True,True,True,True,True,False,True,True,False,False
1676104299.6071148,779,1676104299,606109533,,True,True,True,True,True,True,True,False,True,True,False,False
1676104299.8091705,780,1676104299,807697116,,True,True,True,True,True,True,True,False,True,True,False,False
1676104300.0094976,781,1676104300,8702584,,True,True,True,True,True,True,True,False,True,True,False,False
1676104300.2089622,782,1676104300,207451588,,True,True,True,True,True,True,True,False,True,True,False,False
1676104300.408394,783,1676104300,407709472,,True,True,True,True,True,True,True,False,True,True,False,False
1676104300.609647,784,1676104300,608321167,,True,True,True,True,True,True,False,False,True,True,False,False
1676104300.8080423,785,1676104300,807302596,,True,True,True,True,True,True,False,False,True,True,False,False
1676104301.0099134,786,1676104301,9260380,,True,True,True,True,True,True,False,False,True,True,False,False
1676104301.2098334,787,1676104301,208350598,,True,True,True,True,True,True,False,False,True,True,False,False
1676104301.411285,788,1676104301,409944030,,True,True,True,True,True,True,False,False,True,True,False,False
1676104301.6091454,789,1676104301,607555548,,True,True,True,True,True,True,False,False,True,True,False,False
1676104301.8087654,790,1676104301,807628991,,True,True,True,True,True,True,False,False,True,True,False,False
1676104302.0114176,791,1676104302,9932808,,True,True,True,True,True,True,False,False,True,True,False,False
1676104302.2106576,792,1676104302,209299287,,True,True,True,True,True,True,False,False,True,True,False,False
1676104302.40908,793,1676104302,408372381,,True,True,True,True,True,True,False,False,True,True,False,False
1676104302.6108856,794,1676104302,609589860,,True,True,True,True,True,True,False,False,True,True,False,False
1676104302.8111327,795,1676104302,810564358,,True,True,True,True,True,True,False,False,True,True,False,False
1676104303.0102093,796,1676104303,9509562,,True,True,True,True,True,True,False,False,True,True,False,False
1676104303.211363,797,1676104303,210963700,,True,True,True,True,True,True,False,False,True,True,False,False
1676104303.4113743,798,1676104303,409972219,,True,True,True,True,True,True,False,False,True,True,False,False
1676104303.6117525,799,1676104303,611050330,,True,True,True,True,True,True,False,False,True,True,False,False
1676104303.810286,800,1676104303,809205451,,True,True,True,True,True,True,False,False,True,True,False,False
1676104304.0122604,801,1676104304,10227507,,True,True,True,True,True,True,False,False,True,True,False,False
1676104304.2111697,802,1676104304,209358743,,True,True,True,True,True,True,False,False,True,True,False,False
1676104304.4115088,803,1676104304,409532558,,True,True,True,True,True,True,False,False,True,True,False,False
1676104304.6107244,804,1676104304,609425267,,True,True,True,True,True,True,False,False,True,True,False,False
1676104304.8110447,805,1676104304,809725682,,True,True,True,True,True,True,False,False,True,True,False,False
1676104305.0112815,806,1676104305,10957948,,True,True,True,True,True,True,False,False,True,True,False,False
1676104305.2118003,807,1676104305,210975579,,True,True,True,True,True,True,False,False,True,True,False,False
1676104305.4113133,808,1676104305,409824496,,True,True,True,True,True,True,False,False,True,True,False,False
1676104305.611192,809,1676104305,610238264,,True,True,True,True,True,True,False,False,True,True,False,False
