Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676104290.0586157,6969,1676104289,677564360,base_link,1.9777314364910128e-05,1.7141583561897275e-05,-2.3934981226921087e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.058738,6970,1676104289,697546360,base_link,1.9916187226772308e-05,1.7102631926536557e-05,-2.39239513874054e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0588107,6971,1676104289,717530688,base_link,1.960766315460205e-05,1.7143636941909787e-05,-2.3839583992958074e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0588493,6972,1676104289,737513688,base_link,1.96369007229805e-05,1.7039641737937923e-05,-2.3853534460067752e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0588892,6973,1676104289,757495688,base_link,1.9601154327392578e-05,1.709612905979156e-05,-2.3865160346031194e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0589228,6974,1676104289,777475688,base_link,1.9748088717460632e-05,1.7251911759376523e-05,-2.38770604133606e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0589526,6975,1676104289,797457688,base_link,1.980825960636139e-05,1.7224811017513272e-05,-2.378376424312592e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0590045,6976,1676104289,817442528,base_link,1.9982436299324037e-05,1.7076110839843746e-05,-2.3843237757682806e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.059047,6977,1676104289,837423528,base_link,1.993430554866791e-05,1.7113569378852843e-05,-2.3785999417304998e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0590844,6978,1676104289,857404528,base_link,2.003052830696106e-05,1.7055675387382504e-05,-2.371841669082642e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0591319,6979,1676104289,877386528,base_link,2.0013049244880678e-05,1.7114886641502377e-05,-2.3792862892150882e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0591564,6980,1676104289,897368528,base_link,2.0019842684268952e-05,1.7187589406967162e-05,-2.3792085051536565e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0592203,6981,1676104289,917352880,base_link,1.9934536516666414e-05,1.7131441831588744e-05,-2.3829695582389835e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0592844,6982,1676104289,937334880,base_link,2.0086303353309632e-05,1.7154341936111447e-05,-2.3949757218360904e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104290.0593243,6983,1676104289,957315880,base_link,1.98789119720459e-05,1.7018476128578183e-05,-2.3849368095397955e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
