Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1676104295.3097558,1504,1676104295,308397840,,367431774000,1676103927876367332,1676103927874861056,0.5070850253105164
1676104295.4097142,1505,1676104295,409148117,,367531995000,1676103927876529963,1676103927874869504,1.236003041267395
1676104295.5102785,1506,1676104295,508870453,,367632036000,1676103927876350274,1676103927874877696,0.9619799852371216
1676104295.6089256,1507,1676104295,608357631,,367731455000,1676103927876677398,1676103927874886656,0.44327399134635925
1676104295.7098475,1508,1676104295,709368234,,367831388000,1676103927877252382,1676103927874897152,1.4484930038452148
1676104295.8089623,1509,1676104295,808536185,,367931447000,1676103927876776482,1676103927874906368,0.6198089718818665
1676104295.9090152,1510,1676104295,908369446,,368031220000,1676103927876911036,1676103927874915840,0.4718709886074066
1676104296.0088575,1511,1676104296,8337501,,368131114000,1676103927877005779,1676103927874925568,0.4290120005607605
1676104296.1087472,1512,1676104296,108260367,,368230967000,1676103927877101963,1676103927874935552,0.3785820007324219
1676104296.2089553,1513,1676104296,208482510,,368330943000,1676103927877242809,1676103927874946048,0.586434006690979
1676104296.3091328,1514,1676104296,308382765,,368430913000,1676103927877252711,1676103927874956544,0.42784398794174194
1676104296.4087014,1515,1676104296,408252552,,368530693000,1676103927877369417,1676103927874967552,0.3748379945755005
1676104296.5092857,1516,1676104296,508405658,,368630736000,1676103927877422617,1676103927874978560,0.4878920018672943
1676104296.6089725,1517,1676104296,608496826,,368730747000,1676103927877482046,1676103927874989568,0.5275160074234009
1676104296.7099745,1518,1676104296,708679512,,368830840000,1676103927877597447,1676103927875000832,0.4783659875392914
1676104296.8094838,1519,1676104296,808823296,,368930645000,1676103927877713579,1676103927875012864,0.9227420091629028
1676104296.908838,1520,1676104296,908367339,,369030404000,1676103927877727242,1676103927875024896,0.46539199352264404
1676104297.0091193,1521,1676104297,8407911,,369130322000,1676103927877832435,1676103927875037184,0.5009469985961914
1676104297.1094382,1522,1676104297,108370003,,369230237000,1676103927877897735,1676103927875049728,0.46423399448394775
1676104297.2104135,1523,1676104297,208681071,,369330440000,1676103927877849747,1676103927875062016,0.7755870223045349
1676104297.3089128,1524,1676104297,308306789,,369430024000,1676103927878076748,1676103927875074816,0.4042600095272064
1676104297.408975,1525,1676104297,408314454,,369529930000,1676103927878168164,1676103927875087872,0.42716699838638306
1676104297.5092757,1526,1676104297,508717057,,369630254000,1676103927878212138,1676103927875100928,0.49597999453544617
1676104297.608687,1527,1676104297,608243290,,369729710000,1676103927878349331,1676103927875114496,0.362078994512558
1676104297.7092433,1528,1676104297,708427778,,369829800000,1676103927878357715,1676103927875128064,0.5338799953460693
1676104297.8094416,1529,1676104297,808717014,,369929943000,1676103927878436843,1676103927875142144,0.6668919920921326
1676104297.909004,1530,1676104297,908574079,,370029798000,1676103927878509148,1676103927875156224,0.5277090072631836
1676104298.008998,1531,1676104298,8430819,,370129539000,1676103927878621632,1676103927875170560,0.5335170030593872
