Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1676469335.2734964,1,1676469335,271793365,odom,0.6596171855926514,-0.8322501182556152,1.1381377209395172,0.0,0.0,0.0
1676469335.287229,2,1676469335,283214330,odom,0.6596255302429199,-0.8322272300720215,1.1381413439691066,0.0,0.0,0.0
1676469335.30484,3,1676469335,291460275,odom,0.659644603729248,-0.8322170972824097,1.1381466913282872,0.0,0.0,0.0
1676469335.318235,4,1676469335,311886072,odom,0.6595866680145264,-0.8321980237960815,1.1381679742053152,0.0,0.0,0.0
1676469335.3219595,5,1676469335,320132255,odom,0.6596267223358154,-0.8322402238845825,1.1381725853338838,0.0,0.0,0.0
1676469335.3294053,6,1676469335,323606729,odom,0.6596267223358154,-0.8322402238845825,1.1381725853338838,0.0,0.0,0.0
1676469335.3367887,7,1676469335,332772016,odom,0.659656286239624,-0.8322060108184814,1.1381555454701187,0.0,0.0,0.0
1676469335.3413453,8,1676469335,339958190,odom,0.6596832275390625,-0.8321588039398193,1.1381143165558576,0.0,0.0,0.0
1676469335.3509057,9,1676469335,349623918,odom,0.6597456932067871,-0.8320558071136475,1.1381312111109496,0.0,0.0,0.0
1676469335.3649776,10,1676469335,359808206,odom,0.6598942279815674,-0.8319586515426636,1.1381348050788045,0.0,0.0,0.0
1676469335.370908,11,1676469335,369554281,odom,0.6600360870361328,-0.831950306892395,1.1379838584288955,0.0,0.0,0.0
1676469335.3813093,12,1676469335,380162954,odom,0.6600916385650635,-0.8318737745285034,1.1379874136477708,0.0,0.0,0.0
1676469335.3910658,13,1676469335,389614343,odom,0.6600759029388428,-0.8316646814346313,1.1379086854085325,0.0,0.0,0.0
1676469335.400786,14,1676469335,399651288,odom,0.6599578857421875,-0.8315024375915527,1.1378905024498702,0.0,0.0,0.0
1676469335.4120326,15,1676469335,409676790,odom,0.6595168113708496,-0.8312242031097412,1.1377637835994363,0.0,0.0,0.0
1676469335.4209225,16,1676469335,419577360,odom,0.6589434146881104,-0.8309606313705444,1.137598877629638,0.0,0.0,0.0
1676469335.4349785,17,1676469335,431319713,odom,0.6579611301422119,-0.830613374710083,1.137476275858283,0.0,0.0,0.0
1676469335.4410002,18,1676469335,439737081,odom,0.6557919979095459,-0.8300372362136841,1.1373435993522405,0.0,0.0,0.0
1676469335.451061,19,1676469335,449626207,odom,0.6537938117980957,-0.8297377824783325,1.1372038124084471,0.0,0.0,0.0
1676469335.463893,20,1676469335,461014747,odom,0.650324821472168,-0.8293296098709106,1.1369315620779992,0.0,0.0,0.0
1676469335.4726267,21,1676469335,469678401,odom,0.6477904319763184,-0.8291548490524292,1.1367792398393155,0.0,0.0,0.0
1676469335.4811237,22,1676469335,479585647,odom,0.6450939178466797,-0.828893780708313,1.1368017917454243,0.0,0.0,0.0
1676469335.491037,23,1676469335,489717960,odom,0.6408424377441406,-0.8288309574127197,1.1366224420934916,0.0,0.0,0.0
1676469335.5017958,24,1676469335,499657630,odom,0.6380312442779541,-0.8288464546203613,1.1365977008700372,0.0,0.0,0.0
1676469335.5119946,25,1676469335,509577274,odom,0.633734941482544,-0.8290294408798218,1.136363598909974,0.0,0.0,0.0
1676469335.521652,26,1676469335,519686460,odom,0.6309616565704346,-0.8292719125747681,1.136257368582487,0.0,0.0,0.0
1676469335.5317857,27,1676469335,529565811,odom,0.6284823417663574,-0.8294214010238647,1.1362408808916806,0.0,0.0,0.0
1676469335.5407104,28,1676469335,539608478,odom,0.6248929500579834,-0.8295695781707764,1.136306676658988,0.0,0.0,0.0
1676469335.550756,29,1676469335,549605607,odom,0.6227765083312988,-0.8296980857849121,1.1362425470978021,0.0,0.0,0.0
1676469335.562168,30,1676469335,559703826,odom,0.6209416389465332,-0.8298404216766357,1.136123200240731,0.0,0.0,0.0
1676469335.571637,31,1676469335,569613456,odom,0.6186180114746094,-0.8298680782318115,1.1360375262469053,0.0,0.0,0.0
1676469335.5832403,32,1676469335,580078840,odom,0.617483377456665,-0.8297920227050781,1.1359901943683623,0.0,0.0,0.0
1676469335.5914347,33,1676469335,589629650,odom,0.6162722110748291,-0.8296006917953491,1.135972292339802,0.0,0.0,0.0
1676469335.6008408,34,1676469335,599740266,odom,0.6156363487243652,-0.8294588327407837,1.1359303853183986,0.0,0.0,0.0
1676469335.610953,35,1676469335,609655141,odom,0.6151490211486816,-0.829227089881897,1.1359154863357543,0.0,0.0,0.0
1676469335.621962,36,1676469335,619697332,odom,0.6147193908691406,-0.8288992643356323,1.1358757105082276,0.0,0.0,0.0
1676469335.6309726,37,1676469335,629700183,odom,0.6146273612976074,-0.8286900520324707,1.1358592809408903,0.0,0.0,0.0
1676469335.6409721,38,1676469335,639634609,odom,0.6147160530090332,-0.8284441232681274,1.13582159755826,0.0,0.0,0.0
1676469335.6511164,39,1676469335,649893522,odom,0.6148810386657715,-0.8283265829086304,1.1358167733103037,0.0,0.0,0.0
1676469335.6628954,40,1676469335,659766674,odom,0.6152839660644531,-0.8282369375228882,1.1357777143388987,0.0,0.0,0.0
1676469335.6712887,41,1676469335,670011281,odom,0.6155819892883301,-0.8282191753387451,1.1357933689266444,0.0,0.0,0.0
1676469335.6812599,42,1676469335,679751396,odom,0.6158831119537354,-0.8281600475311279,1.1357590567052365,0.0,0.0,0.0
1676469335.6917126,43,1676469335,689620018,odom,0.6163084506988525,-0.8281502723693848,1.1357774818450215,0.0,0.0,0.0
