Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469335.5127077,23,1676469335,510697126,,3.1850989220274237,0.8843220088576965,0.7597085606869204
1676469335.5211112,24,1676469335,520099163,,3.0044900371731886,1.4078415851125128,0.9169339543743249
1676469335.5316904,25,1676469335,530030965,,2.9086229708511375,2.0496150031807403,0.972457765847386
1676469335.5418546,26,1676469335,540016889,,2.936711723915938,2.9807276048638034,0.9176933235418135
1676469335.5519152,27,1676469335,550066709,,2.835124752728873,3.377458366847676,1.0552590246598657
1676469335.5626593,28,1676469335,560107946,,2.6903269601374826,3.7025717186379903,1.1855227556405477
1676469335.5721552,29,1676469335,570065498,,2.6637788018434545,4.19319414996555,1.1952912390234214
1676469335.5830235,30,1676469335,580523014,,2.5918645995259535,4.453235087246475,1.2590030733429471
1676469335.593166,31,1676469335,590088129,,2.6433291043988474,4.7810081876628425,1.2861230484067239
1676469335.602,32,1676469335,600158452,,2.633923162264608,4.916254620609034,1.3125637744638692
1676469335.615968,33,1676469335,610143661,,2.711723139051039,5.039831890532094,1.2873495514681812
1676469335.623553,34,1676469335,620169401,,2.878673476493514,5.152838603288949,1.2402525980791663
1676469335.631781,35,1676469335,630128383,,2.9203102636064857,5.170079679851777,1.1877084207470927
1676469335.6416047,36,1676469335,640068292,,2.9893334514601646,5.147843031477828,1.1448678575372768
1676469335.6517267,37,1676469335,650332212,,3.0588112906528817,5.118201640915921,1.1033289906441157
1676469335.6662574,38,1676469335,660373449,,3.0317587915212996,4.970798106676639,1.1103074585355694
1676469335.6722496,39,1676469335,670421600,,3.028061982525064,4.905004851360939,1.0643167504009818
1676469335.6821547,40,1676469335,680161952,,3.005439756957867,4.80891765562558,1.0787048440250426
1676469335.691172,41,1676469335,690052509,,3.0457972511037164,4.719684347733384,1.0606312872300065
1676469335.7027922,42,1676469335,700241804,,3.0370404368396255,4.639460545930032,1.0555322813176442
1676469335.7123978,43,1676469335,710215330,,3.023833755602857,4.570741919787854,1.0634268543244352
1676469335.7220545,44,1676469335,720169782,,3.0556522991613266,4.552727589421968,1.0369804958912436
1676469335.7323983,45,1676469335,730060577,,3.016282244960371,4.493910710275975,1.019380644122748
