Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469335.3197062,1,0,0,,0.42694628595218065,0.42694628595218065,0.2
1676469335.3229213,2,0,0,,0.4269472081778944,0.4269472081778944,0.2
1676469335.3321803,3,0,0,,0.4269472081778944,0.4269472081778944,0.2
1676469335.3364458,4,0,0,,0.4273130533078313,0.4273130533078313,0.2
1676469335.342608,5,0,0,,0.4273048075249791,0.4273048075249791,0.2
1676469335.3551996,6,0,0,,0.42730818643599755,0.42730818643599755,0.2
1676469335.3658218,7,0,0,,0.4273089052295685,0.4273089052295685,0.2
1676469335.3730192,8,0,0,,0.42733405543621633,0.42733405543621633,0.2
1676469335.3832972,9,0,0,,0.42733476647999136,0.42733476647999136,0.2
1676469335.3921483,10,0,0,,0.42731902083214374,0.42731902083214374,0.2
1676469335.4022965,11,0,0,,0.42731024750746793,0.42731024750746793,0.2
1676469335.4172986,12,0,0,,0.42728490373738115,0.42728490373738115,0.2
1676469335.4219024,13,0,0,,0.4272519225434215,0.4272519225434215,0.2
1676469335.4363966,14,0,0,,0.42474697440803055,0.42474697440803055,0.2
1676469335.4420862,15,0,0,,0.424720439106822,0.424720439106822,0.2
1676469335.4533174,16,0,0,,0.42469248171806334,0.42469248171806334,0.2
1676469335.4665034,17,0,0,,0.4243578594604135,0.4243578594604135,0.2
1676469335.472279,18,0,0,,0.42432739501267674,0.42432739501267674,0.2
1676469335.482154,19,0,0,,0.42433190539389853,0.42433190539389853,0.2
1676469335.4950035,20,0,0,,0.42429603546351197,0.42429603546351197,0.2
1676469335.5024886,21,0,0,,0.42419751723974947,0.42419751723974947,0.2
1676469335.514158,22,0,0,,0.4241506968477369,0.4241506968477369,0.2
1676469335.522236,23,0,0,,0.42412945078223946,0.42412945078223946,0.2
1676469335.5325348,24,0,0,,0.4247265025883913,0.4247265025883913,0.2
1676469335.542298,25,0,0,,0.4247396617418528,0.4247396617418528,0.2
1676469335.5524457,26,0,0,,0.4247268358296156,0.4247268358296156,0.2
1676469335.5630887,27,0,0,,0.4255154129704833,0.4255154129704833,0.2
1676469335.5723498,28,0,0,,0.42549827817171815,0.42549827817171815,0.2
1676469335.5830793,29,0,0,,0.42548881179600956,0.42548881179600956,0.2
1676469335.5963197,30,0,0,,0.4254852313902975,0.4254852313902975,0.2
1676469335.6026895,31,0,0,,0.4262182788679004,0.4262182788679004,0.2
1676469335.613038,32,0,0,,0.42621529907137157,0.42621529907137157,0.2
1676469335.624928,33,0,0,,0.42620734390586623,0.42620734390586623,0.2
1676469335.6321714,34,0,0,,0.4264942314708233,0.4264942314708233,0.2
