Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1676469335.1720638,216,1676469335,171746356,,1676469335,173108000,fcu
1676469336.174698,217,1676469336,172300431,,1676469336,173108000,fcu
1676469337.1719077,218,1676469337,171374454,,1676469337,172108000,fcu
1676469338.1761515,219,1676469338,173851149,,1676469338,174108000,fcu
1676469339.172271,220,1676469339,171160014,,1676469339,172108000,fcu
1676469340.1743696,221,1676469340,172521373,,1676469340,173108000,fcu
1676469341.1752968,222,1676469341,174284631,,1676469341,174108000,fcu
1676469342.1749063,223,1676469342,173070970,,1676469342,174108000,fcu
1676469343.1729789,224,1676469343,172455723,,1676469343,173108000,fcu
1676469344.1726844,225,1676469344,171420943,,1676469344,172108000,fcu
1676469345.1736846,226,1676469345,172162317,,1676469345,173108000,fcu
1676469346.1755672,227,1676469346,173303052,,1676469346,174108000,fcu
1676469347.1728423,228,1676469347,171446605,,1676469347,172108000,fcu
1676469348.17328,229,1676469348,172239984,,1676469348,173108000,fcu
1676469349.1749637,230,1676469349,173109616,,1676469349,173108000,fcu
1676469350.1738021,231,1676469350,172217269,,1676469350,173108000,fcu
1676469351.171773,232,1676469351,170715888,,1676469351,172108000,fcu
1676469352.1732547,233,1676469352,172400156,,1676469352,172108000,fcu
1676469353.17213,234,1676469353,171303403,,1676469353,172108000,fcu
1676469354.1736145,235,1676469354,172575367,,1676469354,173108000,fcu
1676469355.175651,236,1676469355,173466181,,1676469355,174108000,fcu
