Time,transforms
1676469335.1206648,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 763580366
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329819679260254
    y: -0.5838766098022461
    z: 0.1246342733502388
  rotation: 
    x: -0.022097360342741013
    y: 0.046800948679447174
    z: -0.0016285571036860347
    w: -0.9986584782600403]"
1676469335.120673,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 773359067
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298155069351196
    y: -0.583881676197052
    z: 0.1246357411146164
  rotation: 
    x: -0.02162069082260132
    y: 0.0470275916159153
    z: -0.001678125699982047
    w: -0.9986581802368164]"
1676469335.120728,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 773494491
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329815149307251
    y: -0.583879828453064
    z: 0.12464043498039246
  rotation: 
    x: -0.021669572219252586
    y: 0.046899307519197464
    z: -0.001698201522231102
    w: -0.9986631870269775]"
1676469335.1207652,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 783362858
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298090696334839
    y: -0.5838815569877625
    z: 0.12462674081325531
  rotation: 
    x: -0.021831711754202843
    y: 0.04686608165502548
    z: -0.0016659303801134229
    w: -0.9986612796783447]"
1676469335.1208405,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 783498448
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329864740371704
    y: -0.583846926689148
    z: 0.12474838644266129
  rotation: 
    x: -0.01899149641394615
    y: 0.04699587821960449
    z: -0.0010405821958556771
    w: -0.9987139701843262]"
1676469335.1208663,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 783549040
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298643827438354
    y: -0.5838430523872375
    z: 0.12474454939365387
  rotation: 
    x: -0.01903429441154003
    y: 0.047024134546518326
    z: -0.0010381973115727305
    w: -0.9987119436264038]"
1676469335.1209404,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 793381611
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298615217208862
    y: -0.5838488340377808
    z: 0.12474928051233292
  rotation: 
    x: -0.018873941153287888
    y: 0.04700205847620964
    z: -0.0010817379225045443
    w: -0.998715877532959]"
1676469335.120958,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 793531535
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298600912094116
    y: -0.5838454365730286
    z: 0.12473859637975693
  rotation: 
    x: -0.01930484175682068
    y: 0.04686146602034569
    z: -0.001046699471771717
    w: -0.9987143278121948]"
1676469335.124628,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 803363440
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298693895339966
    y: -0.5838413834571838
    z: 0.12475067377090454
  rotation: 
    x: -0.019157255068421364
    y: 0.04695462808012962
    z: -0.0010878141038119793
    w: -0.9987127780914307]"
1676469335.1246462,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 803836340
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329859972000122
    y: -0.5838513970375061
    z: 0.12474505603313446
  rotation: 
    x: -0.01923864148557186
    y: 0.046900492161512375
    z: -0.0009672713349573314
    w: -0.9987139105796814]"
1676469335.1246927,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 813363378
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329861044883728
    y: -0.5838503241539001
    z: 0.12474609166383743
  rotation: 
    x: -0.019004708155989647
    y: 0.04700388386845589
    z: -0.0010627992451190948
    w: -0.9987133145332336]"
