Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676469335.1243865,2179,1676469335,51271808,,255,1497,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.162066,2180,1676469335,155273856,,255,1497,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.2608478,2181,1676469335,247275136,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.361038,2182,1676469335,355275136,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.4627647,2183,1676469335,451277440,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.5613692,2184,1676469335,559279744,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.662484,2185,1676469335,651281792,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.7600172,2186,1676469335,755283584,,255,1498,1497,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.859956,2187,1676469335,851285632,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469335.9616542,2188,1676469335,959287424,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.0616205,2189,1676469336,51289472,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.1623268,2190,1676469336,143291520,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.2620318,2191,1676469336,251293568,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.3603365,2192,1676469336,347295616,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.4615839,2193,1676469336,451297664,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.560436,2194,1676469336,547299200,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.6622994,2195,1676469336,651301248,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.7610223,2196,1676469336,747303296,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.8601856,2197,1676469336,851305344,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469336.9627192,2198,1676469336,959307392,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.0618346,2199,1676469337,55309440,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.160029,2200,1676469337,147311488,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.261645,2201,1676469337,251314304,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.3625069,2202,1676469337,359315840,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.4624474,2203,1676469337,455318912,,255,1497,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.5624464,2204,1676469337,547321216,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.6602461,2205,1676469337,655323520,,255,1497,1497,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.7615283,2206,1676469337,759326592,,255,1492,1498,1123,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.8623064,2207,1676469337,855328896,,255,1490,1497,1157,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469337.9601634,2208,1676469337,947331456,,255,1488,1498,1158,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469338.0608115,2209,1676469338,55332736,,255,1492,1498,1157,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
