Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1676469335.1215434,10871,1676469334,655261056,base_link,0.010550336096504721,0.10359779657674781,-0.0037515752796516105,-0.9945562959320619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0011762429494410753,-0.0004473275039345024,0.0016513022128492594,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0190343856811523,-0.24226978421211126,9.594484329223633,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1216288,10872,1676469334,675265920,base_link,0.010559223813184459,0.10360352327978922,-0.003754314824804827,-0.9945555794356372,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0035020760260522366,-0.0024103200994431973,0.00032417636248283115,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0117952823638916,-0.21791875362396124,9.594846725463867,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1216934,10873,1676469334,695265920,base_link,0.010555267277780493,0.10360595199193466,-0.0037540197968652486,-0.9945553687013946,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0018931501545011997,0.001785287749953568,0.0007267715409398077,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.036303997039795,-0.19871538877487066,9.603025436401367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1218517,10874,1676469334,715265920,base_link,0.010556468462963054,0.1036050142245553,-0.0037613954953546287,-0.9945554108482432,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0027437792159616947,0.0009675630135461689,0.0009185529779642819,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0188019275665283,-0.22701054811477545,9.594664573669434,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1219118,10875,1676469334,730265920,base_link,0.010557643306365296,0.10360072051436325,-0.003762659900809962,-0.9945558323167283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00043675582855939865,6.0354359447956365e-06,0.0002304518420714885,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.025179624557495,-0.22431957721710089,9.587265014648438,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1220026,10876,1676469334,755265920,base_link,0.010564360460346724,0.10361069351239215,-0.0037671274667521303,-0.994554736498667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008423156104981899,-0.0005644663469865917,0.001130115007981658,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.019740104675293,-0.209457755088805,9.609262466430664,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1220903,10877,1676469334,775267456,base_link,0.010568127334932379,0.10361243733824928,-0.0037670853199036182,-0.9945545257644245,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00074821338057518,0.000982405268587172,0.00018494427786208678,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0273516178131104,-0.22318536043166998,9.574640274047852,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.122125,10878,1676469334,790267456,base_link,0.010571709817055807,0.10361976035317805,-0.0037674646415402145,-0.9945537249743027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002115210983902216,0.0007447093958035113,0.0004986110143363475,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0330095291137695,-0.2081520259380329,9.602163314819336,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1222222,10879,1676469334,815267456,base_link,0.010571082882684213,0.1036199552823524,-0.0037654837396601947,-0.9945536828274543,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000873972661793232,-0.00035315030254423624,-0.0004678681143559515,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.0190916061401367,-0.21844002604484442,9.57395076751709,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1676469335.1223004,10880,1676469334,834267456,base_link,0.010586524434307387,0.10361905439346548,-0.0037613112016576552,-0.9945536406806057,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0025039557367563248,-0.00015795731451362366,0.0005332919536158442,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,2.026665449142456,-0.19680216908454778,9.58565616607666,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
