Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1676469335.1242611,4357,1676469335,22479808,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676469335.1244495,4358,1676469335,72437856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676469335.1311839,4359,1676469335,122399856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676469335.175305,4360,1676469335,172354136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676469335.22492,4361,1676469335,222315136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676469335.2955377,4362,1676469335,289758136,,117,578,181,495,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.3249087,4363,1676469335,322235136,,109,602,146,571,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.3753595,4364,1676469335,372201440,,122,533,134,607,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.4287338,4365,1676469335,424638440,,127,229,109,246,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.4776337,4366,1676469335,474603744,,126,291,307,109,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.5267577,4367,1676469335,522069744,,260,200,346,109,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.5772707,4368,1676469335,574516792,,126,241,257,109,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.624475,4369,1676469335,621976792,,109,223,171,161,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.6754436,4370,1676469335,671945584,,118,373,240,222,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.7271795,4371,1676469335,724390584,,140,236,115,138,1054,1054,0,0,0,0,0,0,0,0,0,0
1676469335.775333,4372,1676469335,771958632,,230,109,109,230,1054,1054,0,0,0,0,0,0,0,0,0,0
