Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,temperature,variance
1676469259.5766969,2591,1676469259,194212688,base_link,25.19999885559082,0.0
1676469259.576793,2592,1676469259,239175688,base_link,25.209999084472656,0.0
1676469259.5769374,2593,1676469259,299120152,base_link,25.19999885559082,0.0
1676469259.5771458,2594,1676469259,354072152,base_link,25.209999084472656,0.0
1676469259.5772583,2595,1676469259,399030360,base_link,25.209999084472656,0.0
1676469259.5774531,2596,1676469259,458978360,base_link,25.19999885559082,0.0
1676469259.579036,2597,1676469259,518924568,base_link,25.19999885559082,0.0
1676469259.5910473,2598,1676469259,578872032,base_link,25.19999885559082,0.0
1676469259.622319,2599,1676469259,613841032,base_link,25.19999885559082,0.0
1676469259.683627,2600,1676469259,678782496,base_link,25.209999084472656,0.0
1676469259.7427979,2601,1676469259,738729496,base_link,25.209999084472656,0.0
1676469259.8062477,2602,1676469259,798675960,base_link,25.209999084472656,0.0
1676469259.8623545,2603,1676469259,858623960,base_link,25.209999084472656,0.0
1676469259.9026647,2604,1676469259,898588424,base_link,25.209999084472656,0.0
1676469259.9624891,2605,1676469259,958538424,base_link,25.209999084472656,0.0
1676469260.0223107,2606,1676469260,18481888,base_link,25.209999084472656,0.0
1676469260.0623376,2607,1676469260,58446888,base_link,25.209999084472656,0.0
1676469260.121547,2608,1676469260,118394096,base_link,25.209999084472656,0.0
1676469260.181694,2609,1676469260,178340816,base_link,25.209999084472656,0.0
1676469260.2412925,2610,1676469260,238287816,base_link,25.209999084472656,0.0
1676469260.2815552,2611,1676469260,278251536,base_link,25.209999084472656,0.0
1676469260.3411655,2612,1676469260,338200536,base_link,25.209999084472656,0.0
1676469260.4021347,2613,1676469260,398146256,base_link,25.209999084472656,0.0
1676469260.462595,2614,1676469260,458100256,base_link,25.209999084472656,0.0
1676469260.5228121,2615,1676469260,518039976,base_link,25.219999313354492,0.0
1676469260.5621476,2616,1676469260,558004976,base_link,25.219999313354492,0.0
1676469260.6215105,2617,1676469260,617951696,base_link,25.209999084472656,0.0
1676469260.681705,2618,1676469260,677898416,base_link,25.209999084472656,0.0
1676469260.721269,2619,1676469260,717863416,base_link,25.219999313354492,0.0
1676469260.784794,2620,1676469260,777809880,base_link,25.219999313354492,0.0
1676469260.843334,2621,1676469260,837757880,base_link,25.219999313354492,0.0
1676469260.901541,2622,1676469260,897703600,base_link,25.219999313354492,0.0
1676469260.9411857,2623,1676469260,937669600,base_link,25.219999313354492,0.0
1676469261.0012412,2624,1676469260,997620576,base_link,25.219999313354492,0.0
1676469261.0628777,2625,1676469261,57564576,base_link,25.219999313354492,0.0
1676469261.1036317,2626,1676469261,97530552,base_link,25.219999313354492,0.0
1676469261.1630096,2627,1676469261,157478552,base_link,25.219999313354492,0.0
1676469261.2236466,2628,1676469261,217425016,base_link,25.229999542236328,0.0
1676469261.2841797,2629,1676469261,277371992,base_link,25.229999542236328,0.0
1676469261.344234,2630,1676469261,337317992,base_link,25.219999313354492,0.0
1676469261.3853397,2631,1676469261,377282968,base_link,25.229999542236328,0.0
1676469261.4432638,2632,1676469261,437229968,base_link,25.219999313354492,0.0
1676469261.504202,2633,1676469261,497177944,base_link,25.229999542236328,0.0
1676469261.561579,2634,1676469261,557126944,base_link,25.219999313354492,0.0
1676469261.6007457,2635,1676469261,597090920,base_link,25.219999313354492,0.0
1676469261.679479,2636,1676469261,672019544,base_link,25.229999542236328,0.0
1676469261.7175584,2637,1676469261,711982544,base_link,25.229999542236328,0.0
1676469261.7799284,2638,1676469261,771929520,base_link,25.219999313354492,0.0
1676469261.8366926,2639,1676469261,831877520,base_link,25.229999542236328,0.0
1676469261.8796935,2640,1676469261,871841496,base_link,25.229999542236328,0.0
1676469261.9389112,2641,1676469261,931790496,base_link,25.219999313354492,0.0
1676469261.9980702,2642,1676469261,991736984,base_link,25.229999542236328,0.0
1676469262.0593143,2643,1676469262,51684984,base_link,25.229999542236328,0.0
1676469262.0976841,2644,1676469262,91648704,base_link,25.229999542236328,0.0
1676469262.1571887,2645,1676469262,151598704,base_link,25.229999542236328,0.0
1676469262.218351,2646,1676469262,211543680,base_link,25.229999542236328,0.0
1676469262.2576747,2647,1676469262,251508680,base_link,25.229999542236328,0.0
1676469262.3180246,2648,1676469262,311455656,base_link,25.229999542236328,0.0
1676469262.3802645,2649,1676469262,371404376,base_link,25.229999542236328,0.0
1676469262.4372098,2650,1676469262,431350376,base_link,25.239999771118164,0.0
1676469262.496922,2651,1676469262,491297352,base_link,25.239999771118164,0.0
1676469262.539389,2652,1676469262,531262352,base_link,25.229999542236328,0.0
1676469262.5981715,2653,1676469262,591208328,base_link,25.229999542236328,0.0
1676469262.658248,2654,1676469262,651156328,base_link,25.229999542236328,0.0
1676469262.6971338,2655,1676469262,691120304,base_link,25.229999542236328,0.0
1676469262.7574036,2656,1676469262,751075304,base_link,25.239999771118164,0.0
1676469262.8176823,2657,1676469262,811016280,base_link,25.229999542236328,0.0
1676469262.8778758,2658,1676469262,870963256,base_link,25.229999542236328,0.0
1676469262.917923,2659,1676469262,910927256,base_link,25.229999542236328,0.0
1676469262.9788747,2660,1676469262,970874232,base_link,25.239999771118164,0.0
1676469263.037266,2661,1676469263,30822232,base_link,25.239999771118164,0.0
1676469263.0983453,2662,1676469263,95767208,base_link,25.239999771118164,0.0
1676469263.1561995,2663,1676469263,150717208,base_link,25.239999771118164,0.0
1676469263.1961799,2664,1676469263,190681184,base_link,25.239999771118164,0.0
1676469263.258949,2665,1676469263,255624184,base_link,25.239999771118164,0.0
