Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,attitude_status_flag,velocity_horiz_status_flag,velocity_vert_status_flag,pos_horiz_rel_status_flag,pos_horiz_abs_status_flag,pos_vert_abs_status_flag,pos_vert_agl_status_flag,const_pos_mode_status_flag,pred_pos_horiz_rel_status_flag,pred_pos_horiz_abs_status_flag,gps_glitch_status_flag,accel_error_status_flag
1676469271.2313414,770,1676469271,230910429,,True,True,True,True,True,True,False,False,True,True,False,False
1676469271.4324448,771,1676469271,432056638,,True,True,True,True,True,True,False,False,True,True,False,False
1676469271.6323874,772,1676469271,631954816,,True,True,True,True,True,True,False,False,True,True,False,False
1676469271.8304653,773,1676469271,829947105,,True,True,True,True,True,True,False,False,True,True,False,False
1676469272.0313988,774,1676469272,30935526,,True,True,True,True,True,True,False,False,True,True,False,False
1676469272.2324116,775,1676469272,231965656,,True,True,True,True,True,True,False,False,True,True,False,False
1676469272.4314008,776,1676469272,430909216,,True,True,True,True,True,True,False,False,True,True,False,False
1676469272.6310709,777,1676469272,630543836,,True,True,True,True,True,True,False,False,True,True,False,False
1676469272.8319962,778,1676469272,831610317,,True,True,True,True,True,True,False,False,True,True,False,False
1676469273.030528,779,1676469273,29962374,,True,True,True,True,True,True,False,False,True,True,False,False
1676469273.2315636,780,1676469273,230939442,,True,True,True,True,True,True,False,False,True,True,False,False
1676469273.4306927,781,1676469273,430155062,,True,True,True,True,True,True,False,False,True,True,False,False
1676469273.6318178,782,1676469273,631316108,,True,True,True,True,True,True,False,False,True,True,False,False
1676469273.8306196,783,1676469273,829941073,,True,True,True,True,True,True,False,False,True,True,False,False
1676469274.031043,784,1676469274,30419876,,True,True,True,True,True,True,False,False,True,True,False,False
1676469274.2323627,785,1676469274,231948314,,True,True,True,True,True,True,False,False,True,True,False,False
1676469274.4313726,786,1676469274,430957206,,True,True,True,True,True,True,False,False,True,True,False,False
1676469274.6305168,787,1676469274,630037061,,True,True,True,True,True,True,False,False,True,True,False,False
1676469274.833024,788,1676469274,832589775,,True,True,True,True,True,True,False,False,True,True,False,False
1676469275.029984,789,1676469275,29456027,,True,True,True,True,True,True,False,False,True,True,False,False
1676469275.2324693,790,1676469275,232092952,,True,True,True,True,True,True,False,False,True,True,False,False
1676469275.4313838,791,1676469275,430940541,,True,True,True,True,True,True,False,False,True,True,False,False
