Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1676469259.5945756,143,1676469259,205950495,,True,False,False,True,MANUAL,3
1676469260.2050734,144,1676469260,204497110,,True,False,False,True,MANUAL,3
1676469261.2053978,145,1676469261,204332099,,True,False,False,True,MANUAL,3
1676469262.2049365,146,1676469262,203891434,,True,True,False,False,OFFBOARD,4
1676469263.205385,147,1676469263,204701445,,True,True,False,False,OFFBOARD,4
1676469264.205547,148,1676469264,204254846,,True,True,False,False,OFFBOARD,4
1676469265.2025974,149,1676469265,201933069,,True,True,False,False,OFFBOARD,4
1676469266.202617,150,1676469266,202083464,,True,True,False,False,OFFBOARD,4
1676469267.2058241,151,1676469267,204730598,,True,True,False,False,OFFBOARD,4
1676469268.2035067,152,1676469268,202963976,,True,True,False,False,OFFBOARD,4
1676469269.2027519,153,1676469269,202122540,,True,True,False,False,OFFBOARD,4
1676469270.205214,154,1676469270,203893901,,True,True,False,False,OFFBOARD,4
1676469271.2051582,155,1676469271,204459111,,True,True,False,False,OFFBOARD,4
1676469272.2025125,156,1676469272,201939107,,True,True,False,False,OFFBOARD,4
1676469273.204327,157,1676469273,202908221,,True,True,False,False,OFFBOARD,4
1676469274.202558,158,1676469274,201962163,,True,True,False,False,OFFBOARD,4
1676469275.2026443,159,1676469275,202072464,,True,True,False,False,OFFBOARD,4
