Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1676469259.861577,72,1676469259,861096870,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469261.8614666,73,1676469261,860158149,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469263.8599188,74,1676469263,859223249,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469265.860632,75,1676469265,860172933,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469267.862251,76,1676469267,860864015,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469269.8608534,77,1676469269,860233026,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469271.860997,78,1676469271,860436141,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
1676469273.8618891,79,1676469273,860309230,,0.0,0.0,nan,nan,nan,nan,-0.009999999776482582,2,0,3,True,id0,
