Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676469259.5774424,1423,1676469259,450527360,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469259.5923166,1424,1676469259,554525568,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469259.6628788,1425,1676469259,650524032,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469259.7599401,1426,1676469259,754522496,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469259.8625014,1427,1676469259,850520960,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469259.958934,1428,1676469259,954519424,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.062418,1429,1676469260,50517888,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.1600854,1430,1676469260,154516096,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.2588098,1431,1676469260,250514816,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.3603373,1432,1676469260,354513536,,255,1498,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.4589517,1433,1676469260,450512256,,255,1498,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.5623891,1434,1676469260,554510976,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.6613867,1435,1676469260,650509696,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.7593968,1436,1676469260,746508416,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.8626697,1437,1676469260,850506880,,255,1498,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469260.9593484,1438,1676469260,943505600,,255,1499,1498,1066,1498,1933,1065,1065,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.0630805,1439,1676469261,54504576,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.1600175,1440,1676469261,146503552,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.2589753,1441,1676469261,250502016,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.3612697,1442,1676469261,358500992,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.4623196,1443,1676469261,454499968,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.5617993,1444,1676469261,558498944,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.6795971,1445,1676469261,671492544,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.7595184,1446,1676469261,746492544,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.861341,1447,1676469261,854491520,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469261.9587483,1448,1676469261,946490496,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1499,1514,1542,1514,1514,1514,1514,998,998
1676469262.061378,1449,1676469262,54489984,,255,1499,1498,1066,1499,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.1597297,1450,1676469262,146488704,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.260013,1451,1676469262,254487680,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.358867,1452,1676469262,346486656,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.4599378,1453,1676469262,454485376,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.5594451,1454,1676469262,546484352,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.661406,1455,1676469262,654483328,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.7598567,1456,1676469262,746482304,,255,1499,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.8588803,1457,1676469262,854481280,,255,1498,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469262.9587486,1458,1676469262,946480256,,255,1496,1498,1066,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469263.0611596,1459,1676469263,54479232,,255,1493,1498,1119,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469263.1591625,1460,1676469263,150478208,,255,1499,1498,1138,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676469263.2611823,1461,1676469263,254477184,,255,1500,1498,1157,1498,1933,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
