Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1676469259.577033,1188,1676469259,314529152,base_link,0.0007009965484030545,-0.002535658422857523,-0.00028270951588638127,-0.0028128327078346727,-0.0005513215483680668,-0.0010893902600858393
1676469259.577095,1189,1676469259,344529152,base_link,0.0006199220078997314,-0.0026298195589333773,-0.00017035605560522527,0.001318760159376843,0.0006120282709197216,0.0003645529450635723
1676469259.5772214,1190,1676469259,374527360,base_link,0.0006746990256942809,-0.002762207528576255,-0.00030135203269310296,-0.0008973607409102275,-0.0003055852662632358,0.000992957940743133
1676469259.577309,1191,1676469259,414527360,base_link,0.00020211705123074353,-0.0026640037540346384,-0.00012329849414527416,-0.0025886902456973755,0.0011523353277552403,-0.0004709496638618901
1676469259.577416,1192,1676469259,444527360,base_link,-4.493467713473365e-05,-0.002748416271060705,-7.642596756340936e-05,0.0019929639501959414,-0.00011153670838009274,0.000767304702985667
1676469259.5775478,1193,1676469259,474525568,base_link,-0.0003093581763096154,-0.0027527904603630304,-0.00024508772185072303,0.002034318826004972,0.0010201009106601332,0.00025401815195729625
1676469259.5786247,1194,1676469259,514525568,base_link,-0.0002476730733178556,-0.002640490187332034,-0.0005432730540633202,0.00027826243940282184,0.0004120393582874295,0.0017053402151002994
1676469259.5794222,1195,1676469259,544525568,base_link,-0.00033074337989091873,-0.0023623888846486807,-0.000648496497888118,0.0008604546248610939,-0.0008272848400785516,-0.0003402349090170192
1676469259.592265,1196,1676469259,574524032,base_link,-0.00035869600833393633,-0.001940282410942018,-0.0007282461738213897,0.0026609492178650885,0.0005538912358225443,0.0008282531620238554
1676469259.6187117,1197,1676469259,614524032,base_link,-0.0007508981507271528,-0.0018327984726056457,-0.0008948061731643975,0.0013118951971388022,0.000132696082029633,0.0006029135301271417
1676469259.649819,1198,1676469259,644524032,base_link,-0.0008587187039665878,-0.0015886126784607768,-0.0006789330509491265,-0.0035641709755865063,1.5352988866534428e-05,-1.9725215867896653e-05
1676469259.691196,1199,1676469259,673522496,base_link,-0.0009108177036978304,-0.0014923877315595746,-0.0008491752087138593,0.0024576120265317044,0.0014671106151616887,0.0008196799232053063
1676469259.7178507,1200,1676469259,714522496,base_link,-0.0007801585597917438,-0.0014748848043382168,-0.0008593839593231678,0.00018603999322018905,-0.0007629492905839853,-0.0011953388061027327
1676469259.7518294,1201,1676469259,744522496,base_link,-0.0007743100286461413,-0.0013875524746254086,-0.0009275914053432643,0.0013746041646462495,-0.00012236064968851792,-0.0008135200805053801
1676469259.786241,1202,1676469259,773520960,base_link,-0.0009510765667073429,-0.001377721200697124,-0.0009530835668556392,-0.0007111972416622189,-0.0021011401518373453,-0.0007412471994561889
1676469259.816327,1203,1676469259,813520960,base_link,-0.0009868835331872106,-0.0014928277814760804,-0.0011076567461714149,0.0018102776597363284,0.0014467194502521073,-0.00010028369482366806
1676469259.849579,1204,1676469259,843520960,base_link,-0.0006776798400096595,-0.0014654353726655245,-0.0009961789473891258,0.002886737265593847,0.0020697631473701877,-0.00021114648343246846
1676469259.8844948,1205,1676469259,873519424,base_link,-0.00040117622120305896,-0.0013987843412905931,-0.0009551873081363738,0.002179216934675594,-0.0011225110009532185,0.000257307017216938
1676469259.9164383,1206,1676469259,913519424,base_link,-0.0002322443324374035,-0.001382466172799468,-0.0010354522382840514,-0.0010128395498523613,-0.0005361582458858387,-0.00047127875288931144
1676469259.9502003,1207,1676469259,943519424,base_link,-0.0001390213001286611,-0.001480905688367784,-0.001105460454709828,0.0016317484158469067,0.000759460191118146,-0.001150057388802305
1676469259.9831123,1208,1676469259,973517888,base_link,-0.0001270752545678988,-0.0015508898068219423,-0.0006602529319934547,-0.0020527390049629884,-0.001246829609815034,-0.00038789781203148513
1676469260.0163305,1209,1676469260,13517888,base_link,1.928361234604381e-05,-0.0018976620631292462,-0.0002924576692748815,0.0019871080507841126,0.0016007055590309114,0.0004793179231694147
1676469260.049094,1210,1676469260,43517888,base_link,-0.00011808876297436655,-0.002072616945952177,-0.0006787501624785364,-0.00216263107119468,-7.280185998987879e-05,-0.0010856715985680344
1676469260.085658,1211,1676469260,73516096,base_link,7.987092976691201e-05,-0.0020002492237836123,-0.0008494154317304492,0.0014958901025992084,-9.92869664041418e-05,-0.0003933714660611459
1676469260.1179569,1212,1676469260,113516096,base_link,-6.68942229822278e-05,-0.002025159075856209,-0.0006453413516283035,0.0009966744932161148,-0.0004192136673758007,-0.0006530365178426924
1676469260.1510317,1213,1676469260,143516096,base_link,2.924470572907012e-05,-0.002011871198192239,-0.0005087213939987123,-0.0005953474705564054,0.0011390652216953137,0.00017385177757704885
1676469260.1846216,1214,1676469260,173514816,base_link,-0.00020151266653556377,-0.0021064640022814274,-0.0007251665811054409,0.0038611151537589986,-0.0009318266468932642,0.001372577467340488
1676469260.21698,1215,1676469260,213514816,base_link,1.4473474038823042e-05,-0.0020875276532024145,-0.0007136359345167875,-0.0029138100474197224,-0.0010842220764714226,-0.0010330296546403911
1676469260.2499924,1216,1676469260,243514816,base_link,7.857070886529982e-05,-0.002015142934396863,-0.0005827426793985069,0.002694675489887067,0.0014844097021541284,2.486873772687264e-05
1676469260.2839293,1217,1676469260,273513536,base_link,0.00017470112652517855,-0.0018255501054227352,-0.0005601758603006601,0.0004731332229382516,-0.0012868347932644061,0.0004639703821950297
