Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676469259.5766652,6810,1676469259,179227688,base_link,1.4200440049171448e-05,1.4832988381385801e-05,-2.8872582316398627e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.576702,6811,1676469259,194212688,base_link,1.4160533249378205e-05,1.5087406337261198e-05,-2.8787854313850407e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5767412,6812,1676469259,219190688,base_link,1.4196380972862245e-05,1.5051412582397458e-05,-2.868192791938782e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.576785,6813,1676469259,239175688,base_link,1.4118620753288269e-05,1.5171027183532712e-05,-2.8466749191284184e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5768394,6814,1676469259,254160688,base_link,1.4102309942245485e-05,1.5367805957794187e-05,-2.8345230221748357e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5769181,6815,1676469259,279137152,base_link,1.4161315560340882e-05,1.5221151709556576e-05,-2.8290915489196782e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5769355,6816,1676469259,299120152,base_link,1.4211778342723847e-05,1.541062146425247e-05,-2.8370666503906256e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5770366,6817,1676469259,314109152,base_link,1.419057548046112e-05,1.506969779729843e-05,-2.873811721801758e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5770845,6818,1676469259,339085152,base_link,1.4125825464725495e-05,1.527215242385864e-05,-2.857226133346558e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5771577,6819,1676469259,354072152,base_link,1.423545777797699e-05,1.5349119901657103e-05,-2.8440535068511967e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5772085,6820,1676469259,379049360,base_link,1.4260700345039368e-05,1.5441183745861052e-05,-2.851493358612061e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5772636,6821,1676469259,399030360,base_link,1.4101502299308778e-05,1.5269346535205837e-05,-2.8509396314620977e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5773356,6822,1676469259,414017360,base_link,1.4099362492561341e-05,1.5059299767017362e-05,-2.8505498170852666e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5773797,6823,1676469259,438995360,base_link,1.4185073971748352e-05,1.5125605463981626e-05,-2.8724893927574164e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5774603,6824,1676469259,458978360,base_link,1.415403336286545e-05,1.5034061670303342e-05,-2.8869938850402837e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.577515,6825,1676469259,473963568,base_link,1.41304150223732e-05,1.5103134512901303e-05,-2.878744006156922e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5776856,6826,1676469259,498942568,base_link,1.414276957511902e-05,1.5139433741569517e-05,-2.8680515289306646e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5790215,6827,1676469259,518924568,base_link,1.4192837476730348e-05,1.529489308595657e-05,-2.8716757893562322e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5793722,6828,1676469259,533911568,base_link,1.4125338196754457e-05,1.5229824185371397e-05,-2.852256894111634e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5923684,6829,1676469259,558889568,base_link,1.4171944558620454e-05,1.5057808160781858e-05,-2.844336330890656e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.5956204,6830,1676469259,578872032,base_link,1.4204137027263642e-05,1.5220451354980467e-05,-2.866752147674561e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.603361,6831,1676469259,598854032,base_link,1.42449289560318e-05,1.5048460662364958e-05,-2.8795218467712407e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.6221678,6832,1676469259,613841032,base_link,1.4214903116226197e-05,1.5078592300415037e-05,-2.875074446201325e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.6426058,6833,1676469259,638819032,base_link,1.4149339497089386e-05,1.5206441283226011e-05,-2.853556275367737e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.662737,6834,1676469259,658801032,base_link,1.4229939877986908e-05,1.5446649491786953e-05,-2.8050565719604497e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.6836114,6835,1676469259,678782496,base_link,1.4113301038742066e-05,1.5279597043991087e-05,-2.8151911497116092e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.7033439,6836,1676469259,698766496,base_link,1.412593722343445e-05,1.5298978984355924e-05,-2.843399047851563e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.7230282,6837,1676469259,718747496,base_link,1.4234021306037903e-05,1.5216794610023496e-05,-2.8360503911972052e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.7424884,6838,1676469259,738729496,base_link,1.4148417115211488e-05,1.5135198831558224e-05,-2.836704254150391e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.762945,6839,1676469259,758713496,base_link,1.4119271934032441e-05,1.5247508883476255e-05,-2.8359273076057437e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.8062155,6840,1676469259,798675960,base_link,1.4050990343093872e-05,1.509665250778198e-05,-2.8241312503814702e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.8431993,6841,1676469259,838641960,base_link,1.4083907008171083e-05,1.534968465566635e-05,-2.8301393985748295e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.8623364,6842,1676469259,858623960,base_link,1.4131523668766022e-05,1.5269155800342556e-05,-2.8290134668350224e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.8848205,6843,1676469259,878608424,base_link,1.4204454421997071e-05,1.5270495414733886e-05,-2.8503903746604924e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.9026432,6844,1676469259,898588424,base_link,1.4167103171348572e-05,1.5190443396568295e-05,-2.8328931331634528e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.9224787,6845,1676469259,918570424,base_link,1.4132663607597351e-05,1.5369948744773863e-05,-2.8389340639114384e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.9415097,6846,1676469259,938553424,base_link,1.4145112037658692e-05,1.5384624898433682e-05,-2.8552317619323736e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.9624705,6847,1676469259,958538424,base_link,1.4036419987678528e-05,1.543343663215637e-05,-2.839414477348328e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469259.9849198,6848,1676469259,978517888,base_link,1.4180833101272584e-05,1.533347964286804e-05,-2.847164869308472e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.0014484,6849,1676469259,998499888,base_link,1.4124026894569397e-05,1.513065993785858e-05,-2.8260296583175666e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.0222342,6850,1676469260,18481888,base_link,1.4101138710975648e-05,1.5278194844722745e-05,-2.812047600746155e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.0431404,6851,1676469260,38464888,base_link,1.4118772745132447e-05,1.521686017513275e-05,-2.8196561336517337e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.0616813,6852,1676469260,58446888,base_link,1.419677734375e-05,1.512145102024078e-05,-2.8411471843719488e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.082212,6853,1676469260,78428096,base_link,1.422746777534485e-05,1.517413556575775e-05,-2.8304499387741092e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.1033397,6854,1676469260,98412096,base_link,1.4195442199707033e-05,1.5576712787151335e-05,-2.84940779209137e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.12138,6855,1676469260,118394096,base_link,1.4107280969619751e-05,1.5256404876708981e-05,-2.8384160995483402e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.1419363,6856,1676469260,138375096,base_link,1.4172686636447908e-05,1.513651907444e-05,-2.8392302989959723e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.1626718,6857,1676469260,158358096,base_link,1.4222271740436555e-05,1.5243808925151823e-05,-2.8435361385345465e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.1815755,6858,1676469260,178340816,base_link,1.4203508198261262e-05,1.5186583995819089e-05,-2.8423327207565312e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.2018974,6859,1676469260,198321816,base_link,1.4136672019958496e-05,1.5168303251266478e-05,-2.8391665220260624e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.2248333,6860,1676469260,218304816,base_link,1.4192688465118408e-05,1.530310213565826e-05,-2.8515982627868658e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.241135,6861,1676469260,238287816,base_link,1.4196038246154786e-05,1.5042743086814879e-05,-2.8462535142898564e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.2628088,6862,1676469260,258269816,base_link,1.4147344231605531e-05,1.4976008236408231e-05,-2.883291840553284e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.281484,6863,1676469260,278251536,base_link,1.3980506360530854e-05,1.5253154933452604e-05,-2.8753224015235907e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.3026931,6864,1676469260,298236536,base_link,1.416020840406418e-05,1.5073144435882565e-05,-2.8631234169006354e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.3231053,6865,1676469260,318216536,base_link,1.4070384204387666e-05,1.5175819396972653e-05,-2.8604286909103398e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.3410347,6866,1676469260,338200536,base_link,1.4148709177970887e-05,1.5118528902530667e-05,-2.876232266426087e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.3629255,6867,1676469260,358183536,base_link,1.4068797230720521e-05,1.5003748238086697e-05,-2.874420285224915e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.381831,6868,1676469260,378163256,base_link,1.4059275388717652e-05,1.5279069542884825e-05,-2.8565400838851933e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.4020474,6869,1676469260,398146256,base_link,1.4131560921669007e-05,1.5246045589447019e-05,-2.8522431850433356e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.4233098,6870,1676469260,418129256,base_link,1.4132899045944214e-05,1.5399995446205137e-05,-2.833255529403687e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.4624908,6871,1676469260,458100256,base_link,1.4099566638469697e-05,1.507642865180969e-05,-2.853038907051087e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.4869847,6872,1676469260,478075976,base_link,1.4155925810337067e-05,1.527394354343414e-05,-2.840315103530884e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.5227451,6873,1676469260,518039976,base_link,1.4149290323257447e-05,1.5205201506614682e-05,-2.8504222631454474e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.544645,6874,1676469260,538023976,base_link,1.3985848426818849e-05,1.522322595119476e-05,-2.8402417898178105e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.5620654,6875,1676469260,558004976,base_link,1.4204925298690797e-05,1.533643007278442e-05,-2.8333833813667303e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.5826344,6876,1676469260,577986696,base_link,1.4259552955627442e-05,1.534014195203781e-05,-2.8409466147422795e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.6029997,6877,1676469260,597968696,base_link,1.4131754636764528e-05,1.5269012749195097e-05,-2.8490817546844486e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.6214528,6878,1676469260,617951696,base_link,1.4150659739971162e-05,1.534188389778137e-05,-2.849013507366181e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.642143,6879,1676469260,637934696,base_link,1.4022909104824067e-05,1.5301935374736784e-05,-2.833909690380097e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.6611357,6880,1676469260,657916696,base_link,1.4061212539672852e-05,1.48929625749588e-05,-2.839421629905701e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.681648,6881,1676469260,677898416,base_link,1.4179638028144838e-05,1.5219274163246152e-05,-2.8441584110260015e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.702173,6882,1676469260,697880416,base_link,1.4148780703544617e-05,1.5174306929111478e-05,-2.833524942398072e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.7212327,6883,1676469260,717863416,base_link,1.4148467779159547e-05,1.5184393525123594e-05,-2.7977669239044194e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676469260.7415872,6884,1676469260,737846416,base_link,1.4113904535770418e-05,1.533682346343994e-05,-2.817007899284363e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
