Time,transforms
1676469259.5753686,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 163832391
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981778264045715
    y: -0.9214290380477905
    z: 0.12894023954868317
  rotation: 
    x: -0.0195033960044384
    y: 0.039158448576927185
    z: 0.016028236597776413
    w: -0.9989140629768372]"
1676469259.5753846,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 163926204
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981771111488342
    y: -0.9214233160018921
    z: 0.12893489003181458
  rotation: 
    x: -0.019550548866391182
    y: 0.039011117070913315
    z: 0.016125895082950592
    w: -0.9989174008369446]"
1676469259.5754616,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 173391498
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981777667999268
    y: -0.9214150905609131
    z: 0.128942608833313
  rotation: 
    x: -0.019481966271996498
    y: 0.038975734263658524
    z: 0.016029277816414833
    w: -0.9989216923713684]"
1676469259.5754755,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 173463108
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981788992881775
    y: -0.9214221835136414
    z: 0.1289443075656891
  rotation: 
    x: -0.01932194083929062
    y: 0.039090901613235474
    z: 0.016025418415665627
    w: -0.9989202618598938]"
1676469259.575491,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 183358856
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981769919395447
    y: -0.9214209914207458
    z: 0.12894341349601746
  rotation: 
    x: -0.019535938277840614
    y: 0.039033450186252594
    z: 0.016096798703074455
    w: -0.9989172220230103]"
1676469259.5755055,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 183430225
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981744885444641
    y: -0.9214210510253906
    z: 0.1289386749267578
  rotation: 
    x: -0.019593654200434685
    y: 0.03898865357041359
    z: 0.015981392934918404
    w: -0.9989197254180908]"
1676469259.5755374,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 183476835
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.998174786567688
    y: -0.9214250445365906
    z: 0.12894132733345032
  rotation: 
    x: -0.01945439539849758
    y: 0.0391148179769516
    z: 0.016001645475625992
    w: -0.9989171624183655]"
1676469259.5755725,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 193367861
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981706142425537
    y: -0.9214197397232056
    z: 0.1289365291595459
  rotation: 
    x: -0.0195373073220253
    y: 0.03906179964542389
    z: 0.016029339283704758
    w: -0.9989172220230103]"
1676469259.57563,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 193433730
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.9981689453125
    y: -0.9214228391647339
    z: 0.12894706428050995
  rotation: 
    x: -0.019434401765465736
    y: 0.03913424164056778
    z: 0.016025258228182793
    w: -0.9989163875579834]"
1676469259.5756593,"[header: 
  seq: 0
  stamp: 
    secs: 1676469259
    nsecs: 203396977
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -0.998174250125885
    y: -0.9214190244674683
    z: 0.1289387196302414
  rotation: 
    x: -0.019539974629878998
    y: 0.03902934119105339
    z: 0.016144011169672012
    w: -0.9989166259765625]"
