Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1676469259.726252,1,1676469259,720313787,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.73322,2,1676469259,727187395,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.7401187,3,1676469259,736871957,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.7491186,4,1676469259,745933532,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.758545,5,1676469259,756258487,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.7717295,6,1676469259,766173839,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.780142,7,1676469259,777878999,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.7903075,8,1676469259,788379907,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.7999926,9,1676469259,796939611,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8166692,10,1676469259,808151483,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.828514,11,1676469259,820579767,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8352182,12,1676469259,832062482,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8409264,13,1676469259,839378595,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8516538,14,1676469259,847329616,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8579867,15,1676469259,856340646,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8700426,16,1676469259,866255044,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8806274,17,1676469259,878762245,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.8898869,18,1676469259,888295173,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9030497,19,1676469259,896477937,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.909876,20,1676469259,907788753,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.925609,21,1676469259,918559312,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9311624,22,1676469259,927809953,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9454825,23,1676469259,936396121,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9527652,24,1676469259,951300382,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9602962,25,1676469259,957055091,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9702525,26,1676469259,968185663,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.979738,27,1676469259,977038145,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9911296,28,1676469259,987591505,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469259.9990265,29,1676469259,997257947,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0108175,30,1676469260,6543397,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0267355,31,1676469260,18259763,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0326903,32,1676469260,28712511,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0410643,33,1676469260,36810636,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0520372,34,1676469260,50155878,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.059717,35,1676469260,56843996,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0705884,36,1676469260,66543817,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.079368,37,1676469260,76441287,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.0912664,38,1676469260,89291810,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.09874,39,1676469260,96445083,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1095042,40,1676469260,106932640,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1248255,41,1676469260,115890264,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1294274,42,1676469260,127813339,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1392312,43,1676469260,136214256,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1499681,44,1676469260,146105051,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.158561,45,1676469260,156799316,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1717632,46,1676469260,167931318,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.182762,47,1676469260,177496671,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1924894,48,1676469260,187672853,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.1981764,49,1676469260,196842670,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2115846,50,1676469260,207942962,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2263331,51,1676469260,220622301,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2339551,52,1676469260,229505777,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.241421,53,1676469260,238408803,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2512467,54,1676469260,246536016,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2609925,55,1676469260,257393836,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2728772,56,1676469260,268059968,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.2794602,57,1676469260,277016162,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.290651,58,1676469260,288090705,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
1676469260.3004487,59,1676469260,296047925,odom,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0
