Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,monotonic,amsl,local,relative,terrain,bottom_clearance
1676104288.8706791,1335,1676104288,165902136,map,2.164059638977051,2.164059638977051,0.1249425932765007,0.1249425932765007,0.024942591786384583,0.10000000149011612
1676104288.8716931,1336,1676104288,264816440,map,2.0821478366851807,2.0821478366851807,0.1250549554824829,0.1250549554824829,0.02505495399236679,0.10000000149011612
1676104288.8726456,1337,1676104288,363818744,map,2.1217825412750244,2.1217825412750244,0.12519070506095886,0.12519070506095886,0.025128982961177826,0.10006172209978104
1676104288.872957,1338,1676104288,466217840,map,1.9975935220718384,1.9975935220718384,0.12529835104942322,0.12529835104942322,0.025199897587299347,0.10009845346212387
1676104288.873181,1339,1676104288,566082400,map,2.1217825412750244,2.1217825412750244,0.1253984123468399,0.1253984123468399,0.025279827415943146,0.10011858493089676
1676104288.8747265,1340,1676104288,666219960,map,2.22747540473938,2.22747540473938,0.1254613995552063,0.1254613995552063,0.025301776826381683,0.10015962272882462
1676104288.875264,1341,1676104288,765876008,map,1.8099889755249023,1.8099889755249023,0.1255088448524475,0.1255088448524475,0.025324515998363495,0.10018432885408401
1676104288.876027,1342,1676104288,865273520,map,2.0187320709228516,2.0187320709228516,0.12555062770843506,0.12555062770843506,0.025318168103694916,0.10023245960474014
1676104288.967955,1343,1676104288,964831824,map,1.9764550924301147,1.9764550924301147,0.12558498978614807,0.12558498978614807,0.0253177210688591,0.10026726871728897
1676104289.065954,1344,1676104289,63833384,map,2.1032862663269043,2.1032862663269043,0.12560470402240753,0.12560470402240753,0.025324873626232147,0.10027983039617538
1676104289.1662679,1345,1676104289,164020944,map,1.9764550924301147,1.9764550924301147,0.12564422190189362,0.12564422190189362,0.025323353707790375,0.10032086819410324
1676104289.2678823,1346,1676104289,265859504,map,1.8099889755249023,1.8099889755249023,0.1256975531578064,0.1256975531578064,0.02533630281686783,0.10036125034093857
1676104289.367989,1347,1676104289,364891064,map,1.9975935220718384,1.9975935220718384,0.12574651837348938,0.12574651837348938,0.025365300476551056,0.10038121789693832
1676104289.4673123,1348,1676104289,464927624,map,1.8311275243759155,1.8311275243759155,0.12581321597099304,0.12581321597099304,0.025405369699001312,0.10040784627199173
1676104289.5687168,1349,1676104289,566086440,map,2.061009407043457,2.061009407043457,0.12583187222480774,0.12583187222480774,0.02542639523744583,0.10040547698736191
1676104289.667183,1350,1676104289,665005000,map,1.9764550924301147,1.9764550924301147,0.1258508712053299,0.1258508712053299,0.025453932583332062,0.10039693862199783
1676104289.7682374,1351,1676104289,765923304,map,2.0187320709228516,2.0187320709228516,0.12588787078857422,0.12588787078857422,0.025436662137508392,0.10045120865106583
1676104289.8683069,1352,1676104289,865734656,map,2.0398707389831543,2.0398707389831543,0.12588922679424286,0.12588922679424286,0.025446482002735138,0.10044274479150772
1676104289.967017,1353,1676104289,964730960,map,1.894543170928955,1.894543170928955,0.1259254664182663,0.1259254664182663,0.025460578501224518,0.10046488791704178
1676104290.068076,1354,1676104290,65059032,map,1.9975935220718384,1.9975935220718384,0.12597838044166565,0.12597838044166565,0.025458984076976776,0.10051939636468887
1676104290.1666806,1355,1676104290,163994592,map,2.1032862663269043,2.1032862663269043,0.1260077804327011,0.1260077804327011,0.025481976568698883,0.10052580386400223
1676104290.2694974,1356,1676104290,264141896,map,1.8099889755249023,1.8099889755249023,0.12603193521499634,0.12603193521499634,0.02552480250597,0.10050713270902634
1676104290.3660595,1357,1676104290,363873456,map,2.0398707389831543,2.0398707389831543,0.12602871656417847,0.12602871656417847,0.02554389089345932,0.10048482567071915
1676104290.4668992,1358,1676104290,463034016,map,2.0398707389831543,2.0398707389831543,0.12602998316287994,0.12602998316287994,0.025543399155139923,0.10048658400774002
1676104290.5686018,1359,1676104290,565970576,map,2.1032862663269043,2.1032862663269043,0.12606516480445862,0.12606516480445862,0.025524087250232697,0.10054107755422592
1676104290.6670952,1360,1676104290,665159136,map,1.9764550924301147,1.9764550924301147,0.12609784305095673,0.12609784305095673,0.025550909340381622,0.1005469337105751
1676104290.766336,1361,1676104290,763923696,map,2.164059638977051,2.164059638977051,0.12610214948654175,0.12610214948654175,0.025583185255527496,0.10051896423101425
1676104290.8670373,1362,1676104290,864082256,map,2.1217825412750244,2.1217825412750244,0.1260712742805481,0.1260712742805481,0.025598205626010895,0.1004730686545372
1676104290.9667792,1363,1676104290,964909304,map,2.0821478366851807,2.0821478366851807,0.12601539492607117,0.12601539492607117,0.025580354034900665,0.1004350408911705
1676104291.070248,1364,1676104291,66004072,map,1.9975935220718384,1.9975935220718384,0.1259269118309021,0.1259269118309021,0.025547035038471222,0.10037987679243088
1676104291.166289,1365,1676104291,162987632,map,2.061009407043457,2.061009407043457,0.1258281171321869,0.1258281171321869,0.025499127805233,0.10032898932695389
1676104291.2670176,1366,1676104291,264929168,map,2.0821478366851807,2.0821478366851807,0.12566514313220978,0.12566514313220978,0.025448687374591827,0.10021645575761795
1676104291.3664799,1367,1676104291,363984728,map,1.9553165435791016,1.9553165435791016,0.1255568414926529,0.1255568414926529,0.02537461370229721,0.10018222779035568
1676104291.4659805,1368,1676104291,463312544,map,1.8522659540176392,1.8522659540176392,0.12548749148845673,0.12548749148845673,0.02529340237379074,0.10019408911466599
1676104291.5685205,1369,1676104291,566634104,map,2.0398707389831543,2.0398707389831543,0.12542790174484253,0.12542790174484253,0.02527756243944168,0.10015033930540085
