Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,x,y,z,r,buttons
1676104288.8748386,671,1676104288,694458305,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104288.8951647,672,1676104288,893367460,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104289.0959268,673,1676104289,95363186,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104289.2949953,674,1676104289,294447511,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104289.4962468,675,1676104289,495686774,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104289.6947944,676,1676104289,693554486,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104289.895483,677,1676104289,894332262,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104290.0947664,678,1676104290,93333841,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104290.2955723,679,1676104290,293432199,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104290.495771,680,1676104290,494858835,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104290.6942022,681,1676104290,693422459,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104290.8958092,682,1676104290,895346358,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104291.095673,683,1676104291,95110959,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104291.2956932,684,1676104291,293289211,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104291.4953334,685,1676104291,494670836,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104291.6952026,686,1676104291,694674296,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104291.8936334,687,1676104291,893225797,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104292.094481,688,1676104292,94025411,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104292.2957547,689,1676104292,294605323,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104292.4960473,690,1676104292,493892476,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104292.6945927,691,1676104292,693615005,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104292.896471,692,1676104292,895978792,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104293.0959737,693,1676104293,95484189,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104293.2944527,694,1676104293,293398218,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104293.4948988,695,1676104293,494417956,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104293.6987085,696,1676104293,693613949,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104293.8957756,697,1676104293,895356203,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104294.096346,698,1676104294,95904335,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104294.303026,699,1676104294,296163505,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104294.495913,700,1676104294,495316078,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104294.6944137,701,1676104294,693437642,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104294.895747,702,1676104294,895328989,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104295.0956247,703,1676104295,93573781,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104295.2955117,704,1676104295,294464141,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104295.4945614,705,1676104295,493171229,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104295.6950116,706,1676104295,693742394,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104295.8947518,707,1676104295,893507230,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104296.0958018,708,1676104296,95453644,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104296.2944548,709,1676104296,293884982,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104296.4952488,710,1676104296,494613072,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104296.695496,711,1676104296,693382105,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104296.8957994,712,1676104296,894762065,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104297.096045,713,1676104297,95689436,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104297.2959957,714,1676104297,295457961,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104297.4972382,715,1676104297,495853358,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104297.69534,716,1676104297,694808981,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104297.894911,717,1676104297,893807953,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
1676104298.0951662,718,1676104298,94420335,,0.0,0.00800000037997961,0.05700000002980232,-0.01600000075995922,12288
1676104298.2953198,719,1676104298,293525750,,0.0,0.009999999776482582,0.05700000002980232,-0.01600000075995922,12288
