Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1676104288.9491696,2683,1676104288,929357386,,0.0,0.007443483453243971,94,0.0,1.9764550924301147,0.0007846009102649987
1676104288.9823062,2684,1676104288,981251816,,0.0,0.007586754392832518,94,0.0,2.22747540473938,0.0007368474616669118
1676104289.0302098,2685,1676104289,29492299,,0.0,0.007527868263423443,94,0.0,2.22747540473938,0.0006373304058797657
1676104289.0812845,2686,1676104289,80895157,,0.0,0.007699188776314259,94,0.0,2.1032862663269043,0.0008854001644067466
1676104289.1319127,2687,1676104289,131373283,,0.0,0.007833347655832767,94,0.0,1.894543170928955,0.0009975511347875
1676104289.1808517,2688,1676104289,180408598,,0.0,0.007565468084067106,94,0.0,1.9764550924301147,0.001181630534119904
1676104289.2319126,2689,1676104289,231391839,,0.0,0.0077766794711351395,94,0.0,2.1851983070373535,0.0011973883956670761
1676104289.2799935,2690,1676104289,279536680,,0.0,0.007771124131977558,94,0.0,1.8099889755249023,0.0011686821235343814
1676104289.3316233,2691,1676104289,330502884,,0.0,0.007885911501944065,94,0.0,1.9975935220718384,0.0011411563027650118
1676104289.3825014,2692,1676104289,381828745,,0.0,0.007651593070477247,94,0.0,1.9156817197799683,0.0013456600718200207
1676104289.4308565,2693,1676104289,430402703,,0.0,0.007650792133063078,94,0.0,1.8311275243759155,0.0016002580523490906
1676104289.4823442,2694,1676104289,481864134,,0.0,0.007549021393060684,94,0.0,2.22747540473938,0.0011318287579342723
1676104289.5310504,2695,1676104289,530384390,,0.0,0.0073121460154652596,94,0.0,2.22747540473938,0.0009948164224624634
1676104289.5809352,2696,1676104289,579655939,,0.0,0.0066607678309082985,94,0.0,2.061009407043457,0.0009156267042271793
1676104289.6341913,2697,1676104289,630867821,,0.0,0.006706284824758768,94,0.0,1.957958698272705,0.0009930755477398634
1676104289.6826253,2698,1676104289,681704881,,0.0,0.006205861922353506,94,0.0,1.9764550924301147,0.0015905327163636684
1676104289.730945,2699,1676104289,730429539,,0.0,0.00592490378767252,94,0.0,2.1217825412750244,0.0013564317487180233
1676104289.7800038,2700,1676104289,779438614,,0.0,0.005615066736936569,94,0.0,2.0187320709228516,0.0011706688674166799
1676104289.8316743,2701,1676104289,830983098,,0.0,0.005099961068481207,94,0.0,2.0398707389831543,0.0009048781939782202
1676104289.8802826,2702,1676104289,879508354,,0.0,0.004870268516242504,94,0.0,2.0398707389831543,0.0014116793172433972
1676104289.9302626,2703,1676104289,929435607,,0.0,0.0049237036146223545,94,0.0,1.894543170928955,0.0016169025329872966
1676104289.9813557,2704,1676104289,980739412,,0.0,0.004355521872639656,94,0.0,2.061009407043457,0.0015392553759738803
1676104290.0322144,2705,1676104290,31370704,,0.0,0.0040393490344285965,94,0.0,1.9975935220718384,0.0017773015424609184
1676104290.0820184,2706,1676104290,81377312,,0.0,0.004085132386535406,94,0.0,1.9975935220718384,0.001567741041071713
1676104290.1302598,2707,1676104290,129340035,,0.0,0.0038890307769179344,94,0.0,1.9975935220718384,0.001444038120098412
1676104290.1813335,2708,1676104290,180826527,,0.0,0.0033264439553022385,94,0.0,2.1032862663269043,0.0016208803281188011
1676104290.2320693,2709,1676104290,231325085,,0.0,0.003491692477837205,94,0.0,1.894543170928955,0.0014883977128192782
1676104290.2825003,2710,1676104290,281357785,,0.0,0.0032943799160420895,94,0.0,1.8099889755249023,0.001310930703766644
1676104290.3311353,2711,1676104290,330626378,,0.0,0.003340024035423994,94,0.0,2.0821478366851807,0.0013914552982896566
1676104290.3807974,2712,1676104290,380360031,,0.0,0.0034383139573037624,94,0.0,2.0398707389831543,0.0014154133386909962
1676104290.4319339,2713,1676104290,431417110,,0.0,0.0032915708143264055,94,0.0,2.142921209335327,0.0013944809325039387
1676104290.479953,2714,1676104290,479317242,,0.0,0.0033401967957615852,94,0.0,2.0398707389831543,0.001864943653345108
1676104290.5309014,2715,1676104290,530467095,,0.0,0.0034435393754392862,94,0.0,2.1032862663269043,0.0017042637336999178
1676104290.580404,2716,1676104290,579510917,,0.0,0.003645008895546198,94,0.0,1.9764550924301147,0.001877948991023004
1676104290.6307225,2717,1676104290,630291948,,0.0,0.0034782174043357372,94,0.0,1.9764550924301147,0.0016973281744867563
1676104290.6823936,2718,1676104290,681854271,,0.0,0.0035650753416121006,94,0.0,1.9764550924301147,0.0016880360199138522
1676104290.7302175,2719,1676104290,729302934,,0.0,0.0036497279070317745,94,0.0,1.9975935220718384,0.0015018030535429716
1676104290.7807515,2720,1676104290,780302385,,0.0,0.0037372733931988478,94,0.0,2.164059638977051,0.001332480227574706
1676104290.8303287,2721,1676104290,829394131,,0.0,0.003670863341540098,94,0.0,2.0821478366851807,0.001198353013023734
1676104290.8814063,2722,1676104290,880912955,,0.0,0.004224701318889856,94,0.0,2.1217825412750244,0.00112377037294209
1676104290.930856,2723,1676104290,930361135,,0.0,0.0038279565051198006,94,0.0,2.1851983070373535,0.0009388524340465665
1676104290.9818442,2724,1676104290,981294180,,0.0,0.003972959239035845,94,0.0,2.0821478366851807,0.0009740654495544732
1676104291.0310402,2725,1676104291,30462927,,0.0,0.003919252194464207,94,0.0,1.9975935220718384,0.0006496566929854453
1676104291.0807972,2726,1676104291,80421284,,0.0,0.0036654097493737936,94,0.0,2.142921209335327,0.0006386157474480569
1676104291.13082,2727,1676104291,130343957,,0.0,0.0032926700077950954,94,0.0,2.061009407043457,0.000597351579926908
