Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1676104289.6966105,133,1676104289,696226150,,1676104289,701397000,fcu
1676104290.696834,134,1676104290,696500241,,1676104290,701397000,fcu
1676104291.696707,135,1676104291,696198364,,1676104291,701397000,fcu
1676104292.6964912,136,1676104292,696124822,,1676104292,701397000,fcu
1676104293.698898,137,1676104293,696088416,,1676104293,701397000,fcu
1676104294.6973016,138,1676104294,696211045,,1676104294,701397000,fcu
1676104295.6970322,139,1676104295,696302748,,1676104295,701397000,fcu
1676104296.6965237,140,1676104296,696139565,,1676104296,701397000,fcu
1676104297.698635,141,1676104297,697141990,,1676104297,702397000,fcu
1676104298.6968534,142,1676104298,696340676,,1676104298,701397000,fcu
1676104299.6967037,143,1676104299,696264476,,1676104299,701397000,fcu
1676104300.6978242,144,1676104300,697375671,,1676104300,702397000,fcu
1676104301.697304,145,1676104301,696464161,,1676104301,701397000,fcu
1676104302.6986887,146,1676104302,698249832,,1676104302,703397000,fcu
1676104303.698905,147,1676104303,698260636,,1676104303,703397000,fcu
1676104304.6969023,148,1676104304,696468277,,1676104304,701397000,fcu
1676104305.6967032,149,1676104305,696160494,,1676104305,700397000,fcu
1676104306.6991222,150,1676104306,698368776,,1676104306,703397000,fcu
1676104307.6971226,151,1676104307,696257380,,1676104307,701397000,fcu
1676104308.696757,152,1676104308,696302165,,1676104308,701397000,fcu
1676104309.6979256,153,1676104309,697389771,,1676104309,702397000,fcu
1676104310.697417,154,1676104310,696308374,,1676104310,700397000,fcu
1676104311.6981175,155,1676104311,697284006,,1676104311,702397000,fcu
1676104312.69795,156,1676104312,697247897,,1676104312,702397000,fcu
1676104313.696926,157,1676104313,696306744,,1676104313,701397000,fcu
1676104314.7057476,158,1676104314,696631599,,1676104314,701397000,fcu
1676104315.6991282,159,1676104315,698338328,,1676104315,703397000,fcu
1676104316.6991,160,1676104316,698296567,,1676104316,703397000,fcu
1676104317.696802,161,1676104317,696344782,,1676104317,701397000,fcu
1676104318.6981463,162,1676104318,697718629,,1676104318,702397000,fcu
1676104319.6996882,163,1676104319,698742425,,1676104319,703397000,fcu
1676104320.6992617,164,1676104320,698524823,,1676104320,703397000,fcu
1676104321.6979058,165,1676104321,697414625,,1676104321,702397000,fcu
1676104322.6992617,166,1676104322,698315940,,1676104322,703397000,fcu
1676104323.6968126,167,1676104323,696435854,,1676104323,701397000,fcu
1676104324.7075224,168,1676104324,696624351,,1676104324,701397000,fcu
1676104325.6988854,169,1676104325,698393571,,1676104325,703397000,fcu
1676104326.696704,170,1676104326,696326118,,1676104326,701397000,fcu
1676104327.6967218,171,1676104327,696384242,,1676104327,701397000,fcu
1676104328.6968548,172,1676104328,696460404,,1676104328,701397000,fcu
1676104329.7006476,173,1676104329,699456639,,1676104329,703397000,fcu
1676104330.6993854,174,1676104330,698584122,,1676104330,703397000,fcu
1676104331.6980784,175,1676104331,697688306,,1676104331,702397000,fcu
1676104332.699627,176,1676104332,697911422,,1676104332,701397000,fcu
1676104333.6967444,177,1676104333,696379690,,1676104333,701397000,fcu
1676104334.6977842,178,1676104334,697395832,,1676104334,702397000,fcu
1676104335.6980293,179,1676104335,697606434,,1676104335,702397000,fcu
1676104336.6968746,180,1676104336,696440748,,1676104336,701397000,fcu
