Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1676104288.8788764,135,1676104288,737024392,,True,False,False,True,MANUAL,3
1676104289.7370439,136,1676104289,736283815,,True,False,False,True,MANUAL,3
1676104290.735938,137,1676104290,735301318,,True,False,False,True,MANUAL,3
1676104291.7360158,138,1676104291,735391786,,True,False,False,True,MANUAL,3
1676104292.7371247,139,1676104292,735204993,,True,False,False,True,MANUAL,3
1676104293.735665,140,1676104293,735122704,,True,False,False,True,MANUAL,3
1676104294.7364585,141,1676104294,735174951,,True,True,False,True,MANUAL,4
1676104295.7371068,142,1676104295,736221501,,True,True,False,False,OFFBOARD,4
1676104296.7359295,143,1676104296,735243086,,True,True,False,False,OFFBOARD,4
1676104297.7368538,144,1676104297,736263329,,True,True,False,False,OFFBOARD,4
1676104298.7370348,145,1676104298,735572331,,True,True,False,False,OFFBOARD,4
1676104299.7351472,146,1676104299,734227874,,True,True,False,False,OFFBOARD,4
1676104300.7366214,147,1676104300,733822910,,True,True,False,False,OFFBOARD,4
1676104301.7360754,148,1676104301,735237858,,True,True,False,False,OFFBOARD,4
1676104302.73547,149,1676104302,734575914,,True,True,False,False,OFFBOARD,4
1676104303.735109,150,1676104303,734234527,,True,True,False,False,OFFBOARD,4
1676104304.7367625,151,1676104304,735408701,,True,True,False,False,OFFBOARD,4
1676104305.735813,152,1676104305,735135550,,True,True,False,False,OFFBOARD,4
1676104306.7358563,153,1676104306,735220763,,True,True,False,False,OFFBOARD,4
1676104307.7367983,154,1676104307,736184769,,True,True,False,False,OFFBOARD,4
1676104308.7360473,155,1676104308,735374894,,True,True,False,False,OFFBOARD,4
1676104309.7371657,156,1676104309,736216843,,True,True,False,False,OFFBOARD,4
1676104310.7351441,157,1676104310,734470651,,True,True,False,False,OFFBOARD,4
1676104311.736857,158,1676104311,736245395,,True,True,False,True,MANUAL,4
1676104312.7372353,159,1676104312,736304007,,True,True,False,True,MANUAL,4
1676104313.7367554,160,1676104313,735627794,,True,True,False,True,MANUAL,4
1676104314.7366807,161,1676104314,736017113,,True,True,False,True,MANUAL,4
1676104315.735078,162,1676104315,734297101,,True,True,False,True,MANUAL,4
1676104316.735313,163,1676104316,734539168,,True,False,False,True,MANUAL,3
1676104317.735785,164,1676104317,735244389,,True,False,False,True,MANUAL,3
1676104318.7382503,165,1676104318,737646396,,True,False,False,True,MANUAL,3
1676104319.7362819,166,1676104319,735275709,,True,False,False,True,MANUAL,3
1676104320.7355647,167,1676104320,734632286,,True,False,False,True,MANUAL,3
1676104321.7360997,168,1676104321,735328284,,True,False,False,True,MANUAL,3
1676104322.7351904,169,1676104322,734364853,,True,False,False,True,MANUAL,3
1676104323.73626,170,1676104323,735401026,,True,False,False,True,MANUAL,3
1676104324.7368546,171,1676104324,735574173,,True,False,False,True,MANUAL,3
1676104325.7350824,172,1676104325,734409361,,True,False,False,True,MANUAL,3
1676104326.7358928,173,1676104326,735337090,,True,False,False,True,MANUAL,3
1676104327.736201,174,1676104327,735662098,,True,False,False,True,MANUAL,3
1676104328.7376842,175,1676104328,736448391,,True,False,False,True,MANUAL,3
1676104329.7362194,176,1676104329,734378851,,True,False,False,True,MANUAL,3
1676104330.7352593,177,1676104330,734423367,,True,False,False,True,MANUAL,3
1676104331.737412,178,1676104331,736593493,,True,False,False,True,MANUAL,3
1676104332.7360506,179,1676104332,735392350,,True,False,False,True,MANUAL,3
1676104333.7365012,180,1676104333,735504892,,True,False,False,True,MANUAL,3
1676104334.737675,181,1676104334,736856545,,True,False,False,True,MANUAL,3
1676104335.73753,182,1676104335,736529754,,True,False,False,True,MANUAL,3
1676104336.7373497,183,1676104336,736361451,,True,False,False,True,MANUAL,3
