Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vtol_state,landed_state
1676104289.0101573,268,1676104289,8442180,,0,1
1676104289.511406,269,1676104289,508569293,,0,1
1676104290.006857,270,1676104290,6201626,,0,1
1676104290.5086904,271,1676104290,507637525,,0,1
1676104291.008064,272,1676104291,6650364,,0,1
1676104291.5093598,273,1676104291,507192980,,0,1
1676104292.0086348,274,1676104292,7676727,,0,1
1676104292.5110946,275,1676104292,510471321,,0,1
1676104293.0089338,276,1676104293,6885577,,0,1
1676104293.5077052,277,1676104293,506697739,,0,1
1676104294.0106733,278,1676104294,9181049,,0,2
1676104294.5091538,279,1676104294,507395738,,0,2
1676104295.0093794,280,1676104295,7588854,,0,2
1676104295.5092363,281,1676104295,507675601,,0,2
1676104296.009417,282,1676104296,8220427,,0,2
1676104296.50834,283,1676104296,506534610,,0,2
1676104297.010718,284,1676104297,9116526,,0,2
1676104297.508775,285,1676104297,507462443,,0,2
1676104298.008952,286,1676104298,7970672,,0,2
1676104298.5101068,287,1676104298,509109450,,0,2
1676104299.0098636,288,1676104299,7480362,,0,2
1676104299.5107417,289,1676104299,509114712,,0,2
1676104300.0077484,290,1676104300,6696915,,0,2
1676104300.506035,291,1676104300,505530759,,0,2
1676104301.0086403,292,1676104301,7765269,,0,2
1676104301.5086663,293,1676104301,507465357,,0,2
1676104302.0074737,294,1676104302,6472909,,0,2
1676104302.5073547,295,1676104302,506404237,,0,2
1676104303.0103786,296,1676104303,8848924,,0,2
1676104303.507872,297,1676104303,506637520,,0,2
1676104304.0086362,298,1676104304,7742433,,0,2
1676104304.5089488,299,1676104304,507514091,,0,2
1676104305.0092645,300,1676104305,7732273,,0,2
1676104305.5081024,301,1676104305,506749361,,0,2
1676104306.006163,302,1676104306,5655507,,0,2
1676104306.5084317,303,1676104306,506856852,,0,2
1676104307.0075023,304,1676104307,6583588,,0,2
1676104307.50898,305,1676104307,507799989,,0,2
1676104308.0148401,306,1676104308,8250688,,0,2
1676104308.5075479,307,1676104308,506769993,,0,2
1676104309.0110648,308,1676104309,9526166,,0,2
1676104309.5087044,309,1676104309,507637258,,0,2
1676104310.0086489,310,1676104310,6791674,,0,2
1676104310.5097947,311,1676104310,509022078,,0,2
1676104311.009079,312,1676104311,6977208,,0,2
1676104311.510582,313,1676104311,508558626,,0,2
1676104312.0096514,314,1676104312,8354202,,0,2
1676104312.5107088,315,1676104312,508988529,,0,2
1676104313.0104198,316,1676104313,9340030,,0,2
1676104313.5115464,317,1676104313,509918648,,0,2
1676104314.0088878,318,1676104314,7801745,,0,2
1676104314.510014,319,1676104314,508042124,,0,2
1676104315.008528,320,1676104315,6758637,,0,2
1676104315.507893,321,1676104315,506361247,,0,2
1676104316.0110981,322,1676104316,9250715,,0,2
1676104316.5098767,323,1676104316,508799614,,0,2
1676104317.009934,324,1676104317,7795712,,0,1
1676104317.5090363,325,1676104317,507827107,,0,1
1676104318.008745,326,1676104318,6574924,,0,1
1676104318.5095778,327,1676104318,508114602,,0,1
1676104319.0103912,328,1676104319,9018000,,0,1
1676104319.510132,329,1676104319,508947394,,0,1
1676104320.0083447,330,1676104320,6916209,,0,1
1676104320.509373,331,1676104320,506058370,,0,1
1676104321.0062032,332,1676104321,5563725,,0,1
1676104321.5114102,333,1676104321,509586338,,0,1
1676104322.0083215,334,1676104322,6904886,,0,1
1676104322.5060427,335,1676104322,505521459,,0,1
1676104323.0076418,336,1676104323,6363290,,0,1
1676104323.518881,337,1676104323,509653412,,0,1
1676104324.012193,338,1676104324,9202706,,0,1
1676104324.5064085,339,1676104324,505536902,,0,1
1676104325.008223,340,1676104325,7051870,,0,1
1676104325.5088983,341,1676104325,507937931,,0,1
1676104326.0087569,342,1676104326,7575303,,0,1
1676104326.5088403,343,1676104326,507865215,,0,1
1676104327.0060384,344,1676104327,5624840,,0,1
1676104327.509686,345,1676104327,507784983,,0,1
1676104328.0080423,346,1676104328,6981498,,0,1
1676104328.50778,347,1676104328,506681149,,0,1
1676104329.0100834,348,1676104329,7744358,,0,1
1676104329.5082185,349,1676104329,506694084,,0,1
1676104330.0110846,350,1676104330,9531025,,0,1
1676104330.5091853,351,1676104330,507810935,,0,1
1676104331.007232,352,1676104331,6439557,,0,1
1676104331.512991,353,1676104331,510694645,,0,1
1676104332.00702,354,1676104332,5694582,,0,1
1676104332.5086873,355,1676104332,507884574,,0,1
1676104333.0090172,356,1676104333,6882795,,0,1
1676104333.5115356,357,1676104333,509385165,,0,1
1676104334.0113099,358,1676104334,10469164,,0,1
1676104334.5098999,359,1676104334,507793164,,0,1
1676104335.011033,360,1676104335,9298391,,0,1
1676104335.5090587,361,1676104335,507932428,,0,1
1676104336.0103652,362,1676104336,8208775,,0,1
1676104336.5086093,363,1676104336,506787847,,0,1
1676104337.0105572,364,1676104337,9207025,,0,1
