Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,group_mix,controls_0,controls_1,controls_2,controls_3,controls_4,controls_5,controls_6,controls_7
1676104288.8704898,4001,1676104288,150344136,,0,0.07384397834539413,0.020803259685635567,0.001322969445027411,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8707957,4002,1676104288,182883136,,0,0.07409647852182388,0.020496303215622902,0.0011933698551729321,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.871188,4003,1676104288,216676440,,0,0.07386740297079086,0.020750654861330986,0.0013727241894230247,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8715298,4004,1676104288,249214440,,0,0.07378091663122177,0.02042829431593418,0.0014314701547846198,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.871963,4005,1676104288,281762440,,0,0.07384464144706726,0.020821962505578995,0.0012313274201005697,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.872148,4006,1676104288,315548744,,0,0.07233946025371552,0.020886795595288277,0.0013075992465019226,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8722754,4007,1676104288,348093744,,0,0.0741548165678978,0.02085833065211773,0.0012240003561601043,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8727002,4008,1676104288,381883744,,0,0.07391660660505295,0.020767955109477043,0.0009151867707259953,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.872764,4009,1676104288,415671840,,0,0.07369358837604523,0.020595742389559746,0.00141120923217386,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8745632,4010,1676104288,449461840,,0,0.07250748574733734,0.020571017637848854,0.0010424209758639336,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8746722,4011,1676104288,483256840,,0,0.07365023344755173,0.020913071930408478,0.0013613845221698284,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8748162,4012,1676104288,514542400,,0,0.07402193546295166,0.020532604306936264,0.0010507985716685653,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8749335,4013,1676104288,550839400,,0,0.0729578509926796,0.020758643746376038,0.0012975805439054966,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8751833,4014,1676104288,580877400,,0,0.07392917573451996,0.02061455510556698,0.0013363139005377889,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8755531,4015,1676104288,617169960,,0,0.0727628618478775,0.020601043477654457,0.0009558842866681516,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.876522,4016,1676104288,647210960,,0,0.07260489463806152,0.021103881299495697,0.0009804972214624286,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.877511,4017,1676104288,683499960,,0,0.07318668067455292,0.020920932292938232,0.001169692724943161,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8775487,4018,1676104288,716043008,,0,0.07421787828207016,0.021097635850310326,0.0011897196527570486,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8775914,4019,1676104288,749834008,,0,0.07396440207958221,0.020872492343187332,0.0012228813720867038,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8776865,4020,1676104288,783624008,,0,0.07380593568086624,0.02067004330456257,0.00144252460449934,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8777423,4021,1676104288,816163520,,0,0.07392755150794983,0.020562225952744484,0.0008478136151097715,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8785617,4022,1676104288,849951520,,0,0.07437077164649963,0.020690646022558212,0.00133784010540694,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.8857532,4023,1676104288,882492520,,0,0.07381937652826309,0.02071787789463997,0.001344033400528133,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.9481418,4024,1676104288,916289824,,0,0.07422144711017609,0.020901426672935486,0.0008997392142191529,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.9528115,4025,1676104288,948823824,,0,0.07370071858167648,0.020901352167129517,0.001510316738858819,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104288.987537,4026,1676104288,982615824,,0,0.07399526983499527,0.020988954231142998,0.0013200906105339527,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.0182037,4027,1676104289,15158384,,0,0.07400355488061905,0.020699517801404,0.0013063795631751418,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.0510986,4028,1676104289,47703384,,0,0.07382433861494064,0.02077084220945835,0.001182921463623643,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.0850127,4029,1676104289,81485384,,0,0.07371579855680466,0.020461853593587875,0.0012386328307911754,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.1171112,4030,1676104289,114030944,,0,0.07270961254835129,0.020767146721482277,0.0013140017399564385,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.1509008,4031,1676104289,147834944,,0,0.0741080716252327,0.02084651216864586,0.0014547155005857348,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.1865728,4032,1676104289,181606944,,0,0.07387060672044754,0.020967796444892883,0.0013393573462963104,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.2175286,4033,1676104289,214152504,,0,0.07379210740327835,0.020895885303616524,0.0010759568540379405,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.2540896,4034,1676104289,250449504,,0,0.07209528237581253,0.020682865753769875,0.001597736612893641,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.2862797,4035,1676104289,282984504,,0,0.07387343049049377,0.020761609077453613,0.0011389447608962655,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.3191721,4036,1676104289,316777064,,0,0.07405148446559906,0.02085626684129238,0.0011269538663327694,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.3519151,4037,1676104289,349315064,,0,0.0738551989197731,0.020459679886698723,0.0016375913983210921,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.3885128,4038,1676104289,381858064,,0,0.07244446873664856,0.020870167762041092,0.0009360103285871446,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.419029,4039,1676104289,416899624,,0,0.073702372610569,0.020626705139875412,0.001194894197396934,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.4564805,4040,1676104289,449437624,,0,0.07295942306518555,0.02054421789944172,0.0012886550975963473,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.4867122,4041,1676104289,483233624,,0,0.0741395354270935,0.020763855427503586,0.0010645576985552907,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.518888,4042,1676104289,515770440,,0,0.07375022768974304,0.021016065031290054,0.0010570192243903875,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.5532875,4043,1676104289,549559440,,0,0.07273068279027939,0.02072346955537796,0.0011768998811021447,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.586699,4044,1676104289,583358440,,0,0.07377254962921143,0.02057645097374916,0.0012118369340896606,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.619259,4045,1676104289,617152000,,0,0.07289491593837738,0.020633062347769737,0.0010631419718265533,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.6525204,4046,1676104289,649685000,,0,0.07400833815336227,0.021097637712955475,0.0012973473640158772,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.686188,4047,1676104289,682229000,,0,0.0738305151462555,0.020793084055185318,0.00075310975080356,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.7192755,4048,1676104289,716016304,,0,0.07270055264234543,0.020847346633672714,0.0012959205778315663,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.7538252,4049,1676104289,749823304,,0,0.07341592013835907,0.020792629569768906,0.0012156636221334338,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.786951,4050,1676104289,783597304,,0,0.07376523315906525,0.020918091759085655,0.0013319654390215874,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.8171053,4051,1676104289,813635656,,0,0.07411406189203262,0.020781107246875763,0.0011959949042648077,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.8500924,4052,1676104289,847426656,,0,0.07439550012350082,0.02061290293931961,0.001409676275216043,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.8885448,4053,1676104289,886233656,,0,0.07435847073793411,0.020719831809401512,0.0012138758320361376,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.9182405,4054,1676104289,915021960,,0,0.0742088034749031,0.020965974777936935,0.0014635795960202813,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.9548092,4055,1676104289,950065960,,0,0.07294106483459473,0.02083020843565464,0.0009643090888857841,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104289.9842653,4056,1676104289,981343960,,0,0.07395848631858826,0.02077587880194187,0.0010894922306761146,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.0201862,4057,1676104290,17636032,,0,0.07275141030550003,0.021000562235713005,0.0010908400872722268,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.0527525,4058,1676104290,50180032,,0,0.07278043776750565,0.02063991129398346,0.001300002564676106,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.0854166,4059,1676104290,82715032,,0,0.07388351112604141,0.020981889218091965,0.0008759083575569093,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.1183329,4060,1676104290,115267592,,0,0.07265965640544891,0.020849205553531647,0.0014699774328619242,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.1513932,4061,1676104290,149050592,,0,0.07410681247711182,0.020666878670454025,0.0015837447717785835,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.1857579,4062,1676104290,181588592,,0,0.07395493239164352,0.021073604002594948,0.0013482976937666535,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.2187724,4063,1676104290,215393896,,0,0.07220908999443054,0.02059144340455532,0.0008500339463353157,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.2518349,4064,1676104290,249181896,,0,0.0743754655122757,0.020758606493473053,0.0012339848326519132,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.2866325,4065,1676104290,282962896,,0,0.07394379377365112,0.020416980609297752,0.0013799344887956977,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.3186624,4066,1676104290,315504456,,0,0.07403049618005753,0.021012641489505768,0.0012711860472336411,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.3514342,4067,1676104290,348046456,,0,0.0726749375462532,0.020900998264551163,0.0014130061026662588,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.3859146,4068,1676104290,381836456,,0,0.07421646267175674,0.020716559141874313,0.0013719000853598118,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.417256,4069,1676104290,414379016,,0,0.07386457175016403,0.020493797957897186,0.0010665239533409476,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.4512703,4070,1676104290,446916016,,0,0.07234553247690201,0.02057511731982231,0.0010645546717569232,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.4862456,4071,1676104290,483212016,,0,0.07359256595373154,0.020966967567801476,0.0011380931828171015,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.5193017,4072,1676104290,517008576,,0,0.0726037546992302,0.020883705466985703,0.0010300176218152046,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.5525486,4073,1676104290,549541576,,0,0.07420879602432251,0.02017069235444069,0.0013428798411041498,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.5875444,4074,1676104290,583332576,,0,0.07343543320894241,0.020730458199977875,0.0011509563773870468,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.6196342,4075,1676104290,617130136,,0,0.07366056740283966,0.02069624699652195,0.0011521403212100267,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.6527455,4076,1676104290,649674136,,0,0.07393097877502441,0.020473184064030647,0.0012619619956240058,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.686346,4077,1676104290,682205136,,0,0.07428404688835144,0.020819444209337234,0.0013016787124797702,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.71879,4078,1676104290,714744696,,0,0.07413700968027115,0.02085302583873272,0.0012288795551285148,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.7510567,4079,1676104290,748540696,,0,0.07243653386831284,0.020450357347726822,0.0015360096003860235,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.7849624,4080,1676104290,781075696,,0,0.07346399128437042,0.020711880177259445,0.0015019001439213753,0.057575758546590805,0.0,0.0,0.0,-1.0
1676104290.8189843,4081,1676104290,816122256,,0,0.07355250418186188,0.020903440192341805,0.0011995115783065557,0.057575758546590805,0.0,0.0,0.0,-1.0
