Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104288.8760285,1342,1676104288,861259520,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104288.967977,1343,1676104288,953261824,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.065971,1344,1676104289,61264384,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.1662827,1345,1676104289,157266944,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.267903,1346,1676104289,261269504,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.3680189,1347,1676104289,357272064,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.46734,1348,1676104289,450274624,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.5687354,1349,1676104289,557277440,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.6672034,1350,1676104289,649280000,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.7683728,1351,1676104289,757282304,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.8683248,1352,1676104289,854286656,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104289.9670324,1353,1676104289,957288960,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.0681446,1354,1676104290,49292032,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.1667159,1355,1676104290,157294592,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.2695422,1356,1676104290,253296896,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.3661237,1357,1676104290,357299456,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.4672701,1358,1676104290,453302016,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.568615,1359,1676104290,557304576,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.6671581,1360,1676104290,653307136,,255,1502,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104290.7665956,1361,1676104290,757309696,,255,1503,1496,1066,1495,1065,1065,1499,1580,1065,1065,1514,1542,1514,1514,1514,1514,998,998
