Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1676104288.8730655,548,1676104288,532254400,map,-0.4126903712749481,0.5182854533195496,0.1253667175769806,0.05173712549643613,-0.01829033745646005,0.03942656446745547,-0.9977145700252257
1676104288.8740087,549,1676104288,562254400,map,-0.41272273659706116,0.5182227492332458,0.1253984123468399,0.05175758120594309,-0.018292778022406635,0.03942374062860523,-0.99771360064771
1676104288.8745048,550,1676104288,602256960,map,-0.4127643406391144,0.5181493759155273,0.1254294216632843,0.05174900037100408,-0.01829593245059987,0.03941969453114822,-0.9977141064098921
1676104288.8746226,551,1676104288,632256960,map,-0.412797212600708,0.5180962085723877,0.12544550001621246,0.051746853515908055,-0.018297404956119718,0.03942576367733376,-0.9977139378224981
1676104288.8747463,552,1676104288,662256960,map,-0.41283273696899414,0.518051266670227,0.1254613995552063,0.051745037250155036,-0.018314267646791126,0.03944721642322584,-0.9977128841512853
1676104288.8748643,553,1676104288,702259008,map,-0.4128752648830414,0.5180186033248901,0.12548404932022095,0.05175028058152759,-0.018310657505798366,0.03945113608013731,-0.9977125048296487
1676104288.875066,554,1676104288,732259008,map,-0.4129113256931305,0.5180043578147888,0.12549935281276703,0.05174560754969895,-0.018311595273177727,0.03944144230497982,-0.9977131791792249
1676104288.8771565,555,1676104288,762259008,map,-0.4129503071308136,0.5179882049560547,0.1255088448524475,0.05175596382063148,-0.018305553785861493,0.03944224309510153,-0.9977127155638912
1676104288.8781118,556,1676104288,802259520,map,-0.4129992127418518,0.517973005771637,0.12552416324615479,0.05176539022671875,-0.018303181708543743,0.03943722762012872,-0.9977124205359517
1676104288.8785152,557,1676104288,832259520,map,-0.4130282700061798,0.517971932888031,0.12553651630878448,0.051769665497664576,-0.01829820047788536,0.03944776433225643,-0.9977119147737695
1676104288.8793118,558,1676104288,872259520,map,-0.41306519508361816,0.5179834365844727,0.12555506825447083,0.051778051403429226,-0.018292764851516475,0.03945084105219774,-0.997711451158436
1676104288.913167,559,1676104288,902261824,map,-0.41308310627937317,0.5180099606513977,0.1255645453929901,0.051779224929742455,-0.018282961757970645,0.03945176828286498,-0.997711535452133
1676104288.9489148,560,1676104288,932261824,map,-0.4131026864051819,0.5180220603942871,0.12557615339756012,0.05177095756198924,-0.018287604496751923,0.0394583431912327,-0.99771161974583
1676104288.9759226,561,1676104288,972261824,map,-0.413129597902298,0.5180428624153137,0.12558752298355103,0.05177846496938024,-0.018294416481142498,0.039452948394623294,-0.9977112825710418
1676104289.009119,562,1676104289,2264384,map,-0.4131535589694977,0.5180552005767822,0.12559396028518677,0.05176537573873958,-0.018293202125069772,0.03944843868183261,-0.9977121676548606
1676104289.0456555,563,1676104289,32264384,map,-0.41317498683929443,0.5180727243423462,0.12559722363948822,0.05176261775434014,-0.01829620772220421,0.03945463426856373,-0.997712041214315
1676104289.075573,564,1676104289,72264384,map,-0.41320866346359253,0.5180947184562683,0.1256081908941269,0.051751409326814275,-0.018288787242688256,0.03945509788389735,-0.9977127577107398
1676104289.10833,565,1676104289,102266944,map,-0.41324254870414734,0.5181187391281128,0.1256166696548462,0.05174574979531268,-0.018288045721572267,0.03944856512237819,-0.9977133056197705
1676104289.1409783,566,1676104289,132266944,map,-0.41328006982803345,0.5181423425674438,0.1256292313337326,0.05174870929433155,-0.018291908743656098,0.03945138896122838,-0.9977129262981338
