Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1676104288.8755393,2680,1676104288,777389008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104288.8759165,2681,1676104288,828701520,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104288.8818603,2682,1676104288,878760520,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104288.9491055,2683,1676104288,927572824,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104288.9816294,2684,1676104288,978886824,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.029893,2685,1676104289,27706384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.0808568,2686,1676104289,77755384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.1316743,2687,1676104289,129069944,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.180683,2688,1676104289,177884944,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.2318463,2689,1676104289,229195504,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.279767,2690,1676104289,277900504,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.3315396,2691,1676104289,328072064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.3821461,2692,1676104289,379377064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.4306705,2693,1676104289,428193624,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.482153,2694,1676104289,479497624,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.5310318,2695,1676104289,528311440,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.5809135,2696,1676104289,577126440,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.6319704,2697,1676104289,628435000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.6826062,2698,1676104289,679749000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.7307706,2699,1676104289,728556304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.779918,2700,1676104289,777367304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.831583,2701,1676104289,828678656,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.8802085,2702,1676104289,877488656,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.9301677,2703,1676104289,927550960,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104289.9812627,2704,1676104289,978863960,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.031657,2705,1676104290,28928032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.08196,2706,1676104290,78985032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.1300898,2707,1676104290,127803592,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.1811047,2708,1676104290,179114592,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.2316084,2709,1676104290,229175896,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.2822318,2710,1676104290,279235896,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.3311744,2711,1676104290,328052456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.380647,2712,1676104290,378106456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.431825,2713,1676104290,429424016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676104290.4798946,2714,1676104290,476977016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
